wavelength_nm,flux_erg_cm^-2_s^-1_nm^-1
3.279826059323640663e+01,0.000000000000000000e+00
3.379828192645364027e+01,0.000000000000000000e+00
3.479831159557424058e+01,0.000000000000000000e+00
3.569834740162124831e+01,0.000000000000000000e+00
3.659838701318623322e+01,0.000000000000000000e+00
3.749843851548670415e+01,0.000000000000000000e+00
3.849850411031844999e+01,0.000000000000000000e+00
3.949858099705926406e+01,0.000000000000000000e+00
4.049866995383133172e+01,0.000000000000000000e+00
4.139876255649114256e+01,0.000000000000000000e+00
4.219885206721305337e+01,0.000000000000000000e+00
4.299895086802923316e+01,0.000000000000000000e+00
4.409910240496201794e+01,0.000000000000000000e+00
4.509925895701103116e+01,0.000000000000000000e+00
4.599941661981661412e+01,0.000000000000000000e+00
4.699960829633234027e+01,0.000000000000000000e+00
4.799982057435254745e+01,0.000000000000000000e+00
4.900005510632833250e+01,0.000000000000000000e+00
5.000031371816321268e+01,0.000000000000000000e+00
5.060047974986771635e+01,0.000000000000000000e+00
5.120065946487899566e+01,0.000000000000000000e+00
5.200091149840714877e+01,0.000000000000000000e+00
5.300125541979571153e+01,0.000000000000000000e+00
5.400163299767848457e+01,0.000000000000000000e+00
5.500204737339046090e+01,0.000000000000000000e+00
5.600250208278831821e+01,0.000000000000000000e+00
5.700300112055860779e+01,0.000000000000000000e+00
5.800354901751538961e+01,0.000000000000000000e+00
5.900415093405504052e+01,0.000000000000000000e+00
6.000481277385381418e+01,0.000000000000000000e+00
6.100554132311292221e+01,0.000000000000000000e+00
6.200634442231243781e+01,0.000000000000000000e+00
6.300723117968730946e+01,0.000000000000000000e+00
6.400821223874893917e+01,0.000000000000000000e+00
6.500930011652204144e+01,0.000000000000000000e+00
6.581026025346791641e+01,0.000000000000000000e+00
6.651116540622197704e+01,0.000000000000000000e+00
6.751259163224139570e+01,0.000000000000000000e+00
6.851419072798319121e+01,0.000000000000000000e+00
6.951599124629997561e+01,0.000000000000000000e+00
7.051802837841749749e+01,0.000000000000000000e+00
7.162059367754841332e+01,0.000000000000000000e+00
7.262328441620508102e+01,0.000000000000000000e+00
7.352606004032168130e+01,0.000000000000000000e+00
7.452962005202562068e+01,0.000000000000000000e+00
7.553380249333554275e+01,0.000000000000000000e+00
7.653877418003035871e+01,0.000000000000000000e+00
