rho_core_over_rho_core_sun,BP_RP_model,M_G_model,log10_g_cm_s2,T_photo_K
1e-05,1.943492046793414,10.440494877338509,1.6937568158643914,1219.6762174706723
1e-05,1.9048786494044316,9.428563693653976,1.785517898279484,1385.7257391672792
1e-05,1.7987532857991968,6.488980598660622,2.1024093720679025,1894.562756808729
1e-05,1.780908275255378,6.058126300214272,2.1474024114582155,1986.4769808577234
1e-05,1.756445333473382,5.561895692035693,2.1925250278304236,2114.836915884715
1e-05,1.7317591903531446,5.077819819907229,2.2372048119381627,2246.7687674112485
1e-05,2.1403338632739253,18.043772849225554,0.847406139697124,560.8062728777834
1e-05,2.053554315984498,14.174537909524565,1.3000613947183657,811.5674527109836
1e-05,2.0342745164282516,13.58822379528206,1.3510881434655126,875.811988865872
1e-05,2.013824012893008,13.000154631030545,1.4008088143498036,947.3613547128263
1e-05,1.9932991864914076,12.42650575736965,1.4491805281440873,1022.6690376873188
1e-05,1.9326328616954525,10.786734649475651,1.592163639005464,1265.2335673132768
1e-05,1.914111624750489,10.2865427233091,1.639395923659734,1345.0059921789475
1e-05,1.8840379040336184,9.399139260776133,1.733612852129913,1479.8915783629866
1e-05,1.8392144233153072,8.117575604679955,1.8735945654707795,1692.3568641979098
1e-05,1.8093016554412313,7.291248733841858,1.9660512095159062,1840.9817861765484
1e-05,1.7509827229811612,5.9475963825432725,2.102426103573796,2143.8377698485433
1e-05,2.0250287529840834,14.135714139253766,1.2106224240565857,907.7268267386571
1e-05,1.9826521141114313,12.91032201409366,1.31859150401919,1063.1009822803942
1e-05,1.9116273707219062,10.811716328908847,1.5272030430027186,1355.900703086459
1e-05,1.8777481279193644,9.84067071403749,1.6284271501274992,1508.9072692181485
1e-05,1.8469308632675896,8.934646742238286,1.7294480657319142,1654.8667221018266
1e-05,1.8347439016461708,8.53340691686898,1.778986008635884,1714.2414052108154
1e-05,1.7135740198326586,5.779513483688222,2.057618042915004,2345.2546817975476
1e-05,1.6782193634519265,5.212894295267602,2.1023577458133267,2539.1599219824284
1e-05,1.9809378130168303,13.847372443284724,1.1256069297233928,1069.6975306175063
1e-05,1.884831651292849,10.786477752601911,1.4579178406664268,1476.2492233007968
1e-05,1.8695353772106635,10.286764598141236,1.5171631101729792,1547.1977209413885
1e-05,1.8563632001600503,9.829966546259257,1.574401026160795,1609.5410984751904
1e-05,1.8434489725227483,9.40006256047969,1.6273967606704614,1671.7383948114489
1e-05,1.8311830599139638,8.996554818246112,1.677542446360636,1731.7575591242457
1e-05,1.8155601614359131,8.559717135102288,1.7265319550698996,1809.4699860691924
1e-05,1.801899379386594,8.15272393398092,1.7754724767402097,1878.5216281371925
1e-05,1.758507231593905,7.168075029858006,1.8739573356465933,2103.920846054806
1e-05,1.7269491365209213,6.593337444555009,1.92221045011647,2272.7206685989413
1e-05,1.6930253419899572,6.024975709968253,1.9679833598646064,2457.622221762887
1e-05,1.9367693024875128,13.669836899060117,1.0275824752045695,1247.7728718799683
1e-05,1.8946478529672117,12.031324110020893,1.236006364789113,1431.5675887343687
1e-05,1.8663795092940387,10.88388817273496,1.3894834095371968,1562.031048428465
1e-05,1.8538964862785674,10.421706989773316,1.4495046188947573,1621.34039210977
1e-05,1.840999564996553,9.963748549011218,1.5083390511408774,1683.6515641460066
1e-05,1.8261279669346264,9.499313525324842,1.5643289671804033,1756.7510722678276
1e-05,1.8122447246986604,9.05150542735808,1.620414481376753,1826.1369537849753
1e-05,1.7407228103396717,7.424515891311161,1.7844389176812985,2198.6111502012986
1e-05,1.7091073263389995,6.8605513423197255,1.832125971184927,2369.5905102689435
1e-05,1.67622713568454,6.318959269669547,1.8768696251265928,2550.161708191372
1e-05,1.6458017733394104,5.827253471706058,1.919698811851321,2718.844245393267
1e-05,1.5802974646446641,4.845664081560032,2.0066887683424848,3083.1373467033236
1e-05,1.8510198042471613,11.198310377603473,1.2870443353552645,1635.1493576894864
1e-05,1.83599233147241,10.610679036641287,1.3664828081430545,1708.117973249324
1e-05,1.8211739802296825,10.068046691891748,1.4383932438213414,1781.3867132373064
