rho_core_over_rho_core_sun,BP_RP_model,M_G_model,log10_g_cm_s2,log10_M_g,log10_xi,T_photo_K
1e-05,2.4046632501961147,23.779593930426792,0.9353888365892511,26.37454858518608,-26.0,135.5746626738031
1e-05,2.3953112199311115,23.242413264300303,0.9923753164295468,26.589420851636675,-26.0,143.72562167322843
1e-05,2.374621866722795,22.154548528177855,1.100264501678656,27.02456674608565,-26.0,163.17727623419094
1e-05,2.3635523427018397,21.607914674114454,1.1518635474619652,27.243220287711015,-26.0,174.42571611423062
1e-05,2.3164570351828497,19.443648831707932,1.3496108334322918,28.10892662467362,-26.0,229.41269409288378
1e-05,2.304251572544931,18.912383456448076,1.3974426730546732,28.321432774777566,-26.0,245.68329777238833
1e-05,2.2915347359158402,18.376926306498767,1.4448448847371549,28.53561563475729,-26.0,263.5803575249021
1e-05,2.37777342834631,23.158182958724787,0.9147361031784713,26.12311297386688,-25.5,160.08409829931028
1e-05,2.345142682630795,21.433716568328833,1.0906782181821872,26.812899530025263,-25.5,194.50398724229262
1e-05,2.334061253825402,20.889486277072933,1.1438245100971658,27.030591646527622,-25.5,207.45088418488962
1e-05,2.2995217932996104,19.297811982991405,1.2938264198549594,27.667261364160233,-25.5,252.22547915933694
1e-05,2.287393495668992,18.770553874154047,1.3418821837586425,27.878164607695176,-25.5,269.6219241504009
1e-05,2.2234827635681738,16.15356565033821,1.5785878787422656,28.924959897221513,-25.5,377.0348229990088
1e-05,2.3853373108759883,24.711838278146182,0.6435222970379448,25.001650846098322,-25.0,152.8533381258335
1e-05,2.373291019284439,23.910129761690968,0.7399422337546253,25.32233425268041,-25.0,164.49786533814338
1e-05,2.3395957768321627,21.94290965832179,0.9599106404200237,26.10922229402808,-25.0,200.9018147734673
1e-05,2.328458900111477,21.369899020339986,1.0189035067984569,26.3384265492208,-25.0,214.25138852323218
1e-05,2.280443440121661,19.13522144171285,1.2338296736789913,27.232297580671656,-25.0,280.0015415526286
1e-05,2.2549726424147702,18.048379789139588,1.334052774346095,27.66703424170096,-25.0,320.6918352562954
1e-05,2.2040928135137388,15.962754779166007,1.528748896923828,28.501284245690393,-25.0,415.22263642492254
1e-05,2.074095308136264,11.602594587332867,1.906224070369392,30.24534832242365,-25.0,746.5540255126725
1e-05,2.296912556113278,20.728242772776,0.992372258105471,26.095089048246397,-24.5,255.8922107596917
1e-05,2.2491457347704245,18.469861512370862,1.2221231697854544,26.99844155240845,-24.5,330.6031213952772
1e-05,2.2368346530456287,17.936181494814456,1.273900991900187,27.21191355943101,-24.5,352.30498890635704
1e-05,2.162822082974504,14.887674638196058,1.5708758832141176,28.431316302078372,-24.5,505.8523982089572
1e-05,2.113028864299919,13.203218221242361,1.7149960603111756,29.10509886885985,-24.5,632.9984933931654
1e-05,2.265833365014498,20.148810310802546,0.9621165872997526,25.826862033035777,-24.0,302.8236631679695
1e-05,2.253423236954532,19.52605856838825,1.029794100429626,26.075962730001493,-24.0,323.3049624366403
1e-05,2.2407462076767333,18.926279557333253,1.092521518628844,26.315874334423494,-24.0,345.2966206859377
1e-05,2.107467264528392,13.549814528644033,1.6221208025993252,28.466460345899183,-24.0,648.4501290944439
1e-05,2.0758262461339845,12.528481604514745,1.710933833092874,28.874993515550898,-24.0,741.2371508905227
1e-05,1.932576177949031,8.671455090887495,2.0265407590803237,30.417804121001797,-24.0,1265.4737506520223
1e-05,1.8781820025321347,7.2548995907458185,2.1638222403547154,30.984426321058468,-24.0,1506.8970593409779
1e-05,1.8553399550092853,6.735661613602487,2.211162882294059,31.1921215119158,-24.0,1614.4310009135704
1e-05,1.836000570197951,6.269850425734472,2.2580160366325446,31.378445987063003,-24.0,1708.0775938179509
1e-05,1.819109455279624,5.843062637236541,2.3040872615973913,31.54916110246218,-24.0,1791.6942043559193
1e-05,2.2493020741191354,20.408927382705564,0.8343490795971418,25.22281520427457,-23.5,330.3341992990712
1e-05,2.2353670955762444,19.662986942034536,0.9210273234618451,25.52119138054298,-23.5,354.96185476304333
1e-05,2.18844421580753,17.27240637739075,1.1970855556373088,26.477423606400496,-23.5,448.0622505896407
1e-05,2.1754120845818994,16.682791405325972,1.2606130379704243,26.713269595226404,-23.5,476.8235669032167
1e-05,2.1361435087620038,15.06325538620847,1.4277372483637467,27.361084002873408,-23.5,571.4923714070949
1e-05,2.092434324573966,13.540960974230243,1.5668974159156899,27.970001767664698,-23.5,691.4954370840748
1e-05,2.053870414610469,12.380531752474653,1.6613408305530701,28.434173456366935,-23.5,810.5401484587762
1e-05,1.9706801092218245,10.132989303449794,1.8398607747652753,29.333190435976878,-23.5,1109.6667607854104
1e-05,1.918339702620641,8.698866228456692,1.9736065146086932,29.90683966597412,-23.5,1326.568739291215
1e-05,1.9021211071232724,8.248296081857347,2.0184542077584373,30.087067724613856,-23.5,1398.0076352959109
1e-05,1.8809678807884194,7.738441414650417,2.0639210354757367,30.29100959149663,-23.5,1494.0202067364555
1e-05,1.846095599472878,6.83936660606898,2.1544608063945048,30.650639514929203,-23.5,1658.907231029384
1e-05,1.8024923213714792,5.645491531690795,2.288184986952021,31.128189544680477,-23.5,1875.504055326104
1e-05,1.7829896981527005,5.199050978598166,2.3333186946016045,31.30676576591753,-23.5,1975.677630389362
1e-05,2.13256058511962,15.604250934918776,1.305107929286872,26.644685783389285,-23.0,580.741736053023
1e-05,2.0041091934458413,11.551427506940346,1.6596933202143869,28.265815154580658,-23.0,982.5714333243401
1e-05,1.9851614552050523,11.031563611536537,1.7033568713786622,28.47376071274218,-23.0,1053.4883395758247
1e-05,1.967809655325844,10.549752024195183,1.7459063009637534,28.666485347678723,-23.0,1121.0035924822682
1e-05,1.950402583513705,10.069203770600701,1.7894742632413676,28.858704649116515,-23.0,1191.1610622448848
1e-05,1.9340587566885619,9.60759101458615,1.83380030076309,29.04334975152233,-23.0,1259.1997772332588
1e-05,1.8949021500318024,8.602391045133329,1.9248731596995008,29.445429739303464,-23.0,1430.4190791396386
1e-05,1.8774459505524377,8.139071372374723,1.9704070362372827,29.630757608406906,-23.0,1510.3080603478043
1e-05,1.8180247886883076,6.495094341756057,2.1490692595968612,30.288348420654373,-23.0,1797.1191046585034
1e-05,2.1537543937873984,17.5252795619991,1.0043682028288048,25.376274332557156,-22.5,527.528166136456
1e-05,2.1221929985332832,16.007553701155906,1.1845378969047657,25.983364676894432,-22.5,608.0922757814002
1e-05,2.106698969245925,15.356223071925,1.2561272454824977,26.243896928586796,-22.5,650.6047065446896
1e-05,2.0908180813204154,14.742550116557902,1.3198936731254824,26.48936611073363,-22.5,696.2350779243545
1e-05,2.0371441592791366,13.038197277144716,1.471416020177907,27.17110724649891,-22.5,866.0520999013879
1e-05,1.964084011647061,10.976259723727644,1.6483690760724878,27.99588226786574,-22.5,1135.8165726385023
1e-05,1.943492046793414,10.440494877338509,1.6937568158643914,28.210188206421392,-22.5,1219.6762174706723
1e-05,1.9048786494044316,9.428563693653976,1.785517898279484,28.6149606798952,-22.5,1385.7257391672792
1e-05,1.7987532857991968,6.488980598660622,2.1024093720679025,29.790793917892547,-22.5,1894.562756808729
1e-05,1.780908275255378,6.058126300214272,2.1474024114582155,29.963135637271087,-22.5,1986.4769808577234
1e-05,1.756445333473382,5.561895692035693,2.1925250278304236,30.161627880542518,-22.5,2114.836915884715
1e-05,1.7317591903531446,5.077819819907229,2.2372048119381627,30.3552582293939,-22.5,2246.7687674112485
1e-05,2.1403338632739253,18.043772849225554,0.847406139697124,24.668877017666574,-22.0,560.8062728777834
1e-05,2.053554315984498,14.174537909524565,1.3000613947183657,26.21657099354697,-22.0,811.5674527109836
1e-05,2.0342745164282516,13.58822379528206,1.3510881434655126,26.45109663924397,-22.0,875.811988865872
1e-05,2.013824012893008,13.000154631030545,1.4008088143498036,26.686324304944577,-22.0,947.3613547128263
1e-05,1.9932991864914076,12.42650575736965,1.4491805281440873,26.915783854408932,-22.0,1022.6690376873188
1e-05,1.9326328616954525,10.786734649475651,1.592163639005464,27.571692297566536,-22.0,1265.2335673132768
1e-05,1.914111624750489,10.2865427233091,1.639395923659734,27.771769068033155,-22.0,1345.0059921789475
1e-05,1.8840379040336184,9.399139260776133,1.733612852129913,28.126730453046342,-22.0,1479.8915783629866
1e-05,1.8392144233153072,8.117575604679955,1.8735945654707795,28.639355915484813,-22.0,1692.3568641979098
1e-05,1.8093016554412313,7.291248733841858,1.9660512095159062,28.96988666382005,-22.0,1840.9817861765484
1e-05,1.7509827229811612,5.9475963825432725,2.102426103573796,29.507347604339486,-22.0,2143.8377698485433
1e-05,2.0250287529840834,14.135714139253766,1.2106224240565857,25.73210050165529,-21.5,907.7268267386571
1e-05,1.9826521141114313,12.91032201409366,1.31859150401919,26.222257351719332,-21.5,1063.1009822803942
1e-05,1.9116273707219062,10.811716328908847,1.5272030430027186,27.061699625793256,-21.5,1355.900703086459
1e-05,1.8777481279193644,9.84067071403749,1.6284271501274992,27.4501178717418,-21.5,1508.9072692181485
1e-05,1.8469308632675896,8.934646742238286,1.7294480657319142,27.81252746046148,-21.5,1654.8667221018266
1e-05,1.8347439016461708,8.53340691686898,1.778986008635884,27.973023390609203,-21.5,1714.2414052108154
1e-05,1.7135740198326586,5.779513483688222,2.057618042915004,29.074580763881507,-21.5,2345.2546817975476
1e-05,1.6782193634519265,5.212894295267602,2.1023577458133267,29.301228439249755,-21.5,2539.1599219824284
1e-05,1.9809378130168303,13.847372443284724,1.1256069297233928,25.347437180042906,-21.0,1069.6975306175063
1e-05,1.884831651292849,10.786477752601911,1.4579178406664268,26.57179505631603,-21.0,1476.2492233007968
1e-05,1.8695353772106635,10.286764598141236,1.5171631101729792,26.7716803181003,-21.0,1547.1977209413885
1e-05,1.8563632001600503,9.829966546259257,1.574401026160795,26.954399538853092,-21.0,1609.5410984751904
1e-05,1.8434489725227483,9.40006256047969,1.6273967606704614,27.12636113316492,-21.0,1671.7383948114489
1e-05,1.8311830599139638,8.996554818246112,1.677542446360636,27.287764230058347,-21.0,1731.7575591242457
1e-05,1.8155601614359131,8.559717135102288,1.7265319550698996,27.462499303315877,-21.0,1809.4699860691924
1e-05,1.801899379386594,8.15272393398092,1.7754724767402097,27.625296583764428,-21.0,1878.5216281371925
1e-05,1.758507231593905,7.168075029858006,1.8739573356465933,28.019156145413593,-21.0,2103.920846054806
1e-05,1.7269491365209213,6.593337444555009,1.92221045011647,28.249051179534792,-21.0,2272.7206685989413
1e-05,1.6930253419899572,6.024975709968253,1.9679833598646064,28.476395873369494,-21.0,2457.622221762887
1e-05,1.9367693024875128,13.669836899060117,1.0275824752045695,24.91845139773275,-20.5,1247.7728718799683
1e-05,1.8946478529672117,12.031324110020893,1.236006364789113,25.57385651334844,-20.5,1431.5675887343687
1e-05,1.8663795092940387,10.88388817273496,1.3894834095371968,26.03283088826281,-20.5,1562.031048428465
1e-05,1.8538964862785674,10.421706989773316,1.4495046188947573,26.21770336144747,-20.5,1621.34039210977
1e-05,1.840999564996553,9.963748549011218,1.5083390511408774,26.40088673775231,-20.5,1683.6515641460066
1e-05,1.8261279669346264,9.499313525324842,1.5643289671804033,26.58666074722686,-20.5,1756.7510722678276
1e-05,1.8122447246986604,9.05150542735808,1.620414481376753,26.765783986413563,-20.5,1826.1369537849753
1e-05,1.7407228103396717,7.424515891311161,1.7844389176812985,27.41657980083233,-20.5,2198.6111502012986
1e-05,1.7091073263389995,6.8605513423197255,1.832125971184927,27.642165620428905,-20.5,2369.5905102689435
1e-05,1.67622713568454,6.318959269669547,1.8768696251265928,27.858802449488977,-20.5,2550.161708191372
1e-05,1.6458017733394104,5.827253471706058,1.919698811851321,28.055484768674372,-20.5,2718.844245393267
1e-05,1.5802974646446641,4.845664081560032,2.0066887683424848,28.448120524732783,-20.5,3083.1373467033236
1e-05,1.8510198042471613,11.198310377603473,1.2870443353552645,25.407062006315403,-20.0,1635.1493576894864
1e-05,1.83599233147241,10.610679036641287,1.3664828081430545,25.64211454270028,-20.0,1708.117973249324
1e-05,1.8211739802296825,10.068046691891748,1.4383932438213414,25.859167480600096,-20.0,1781.3867132373064
1e-05,1.806529728802456,9.555435137129942,1.5057682839098678,26.06421210250482,-20.0,1855.0056215345528
1e-05,1.702263029419574,7.278380851989812,1.7351629502579136,26.97503381656087,-20.0,2406.980347517081
1e-05,1.6732074476272787,6.776973456298378,1.7794561249755607,27.175596774837445,-20.0,2566.849752401583
1e-05,1.6399438316619284,6.254662279791797,1.8235196991818707,27.384521245440077,-20.0,2751.423368553728
1e-05,1.600399780505839,5.708791534796001,1.8661006910141669,27.602869543438395,-20.0,2971.52382799815
1e-05,1.556392695368425,5.147456546582773,1.9098292977082856,27.827403538723683,-20.0,3215.190527699441
1e-05,1.837286994910276,11.576050995474088,1.1764314369477344,24.75596575916716,-19.5,1701.7775639344688
1e-05,1.7992162474834725,10.077562841805765,1.3840298710583778,25.35536102063449,-19.5,1892.199063631716
1e-05,1.7794566624679695,9.482791953690997,1.4575389823764333,25.593269375880396,-19.5,1994.0204517856375
1e-05,1.6962790684464448,7.766698563097217,1.62556194337207,26.27970673211791,-19.5,2439.7630053009957
1e-05,1.6592929269211187,7.173497447830888,1.6745085118488123,26.51698717822444,-19.5,2643.9155897693977
1e-05,1.572580076807801,5.9920363100813105,1.7654252592987958,26.98957163332427,-19.5,3125.8658769570166
1e-05,1.5203547927442447,5.404367404723487,1.8065670545845653,27.2246391954674,-19.5,3412.068672994589
1e-05,1.782811581008367,10.476569170943844,1.266645638676565,24.69575848897926,-19.0,1976.6009929254092
1e-05,1.7503398337715783,9.566483902834122,1.3767247489974177,25.059792596223144,-19.0,2147.2584184602447
1e-05,1.6751217507038567,8.158773738158514,1.506871721360684,25.62287666209339,-19.0,2556.268841336154
1e-05,1.5354818264070607,6.27463881333786,1.6537130121044457,26.37653063202165,-19.0,3329.816034605634
1e-05,1.483868636577816,5.722368526398726,1.6948505775181837,26.597438746797305,-19.0,3607.551078162569
1e-05,1.436112757579915,5.209075407059104,1.7397809723689268,26.802755994533154,-19.0,3855.563090322981
1e-05,1.5580270717217668,7.384173504545515,1.464667499468679,25.43271675553859,-18.5,3206.1926879454236
1e-05,1.5110315555768392,6.809462024871093,1.5127803760309428,25.66260134740836,-18.5,3462.4378001770465
1e-05,1.4706154763543349,6.304745310982617,1.5617943249253305,25.86448803296375,-18.5,3677.360130289883
1e-05,1.4274689427158491,5.792767414846177,1.6129543571504896,26.069279191418325,-18.5,3899.3314767029055
1e-05,1.3755542026378274,5.236088514117919,1.6697291416262612,26.291950751709628,-18.5,4153.853576808657
1e-05,1.469660024000269,7.329051580026949,1.355701767736896,24.954765525346016,-18.0,3682.3654146406393
1e-05,1.3483349487264118,7.169356857051408,1.2566889854458818,24.518643414536232,-17.5,4281.054078424718
1e-05,1.2938456085919399,6.28805640068589,1.3854311048502848,24.87116359708244,-17.5,4521.455797945699
1e-05,1.2417152040260953,5.589222560441181,1.4855412124353653,25.150697133180323,-17.5,4732.578406447204
1e-05,1.1917648015746056,5.001665074990828,1.5697662657767981,25.385720127360464,-17.5,4916.974428548862
1e-05,1.2632795237300645,7.205393191792647,1.1781871241768502,24.004228880639737,-17.0,4647.5403839736455
0.01,2.247068337083429,27.327804948558985,2.4402988196599122,21.955264177933202,-26.0,334.1922616731047
0.01,2.2224376337561673,26.077217043375676,2.580758986203252,22.455499340006526,-26.0,379.0238779797171
0.01,2.197464670066196,24.917615704483033,2.7052711485151297,22.919339875563583,-26.0,428.90879529228636
0.01,2.1513126636628437,23.04948290310974,2.8893790208589487,23.6665929961129,-26.0,533.4759946458813
