"#Zeta","#Rho","#Lumi","#Mass","#Temp","#G","#Gbp-Grp","#Rad","#O2S","#O2L","#H1S","#N2S","#N2L","#S2S","#S2L","#S3S","#S3L","#Halpha","#Hbeta","HaNII","HaSII","SS"
"-25.0","-15.776","-18.1188165275223","9.71199981678501","4.01363152911445","59.5904946983125","1.0445280368028","8.75651129636522","-2.61003949663059","-2.49116989513327","-1.83007139035664","-3.01733620409068","-1.68321753922909","-1.63338038664196","-1.040662812057","-5.65409602989838","-5.0706666186273","-0.237326486147574","1.09909667949443","1.42611991818831","1.42611991818831","-0.592717574584951"
"-24.5","-15.776","-17.5902829625539","9.74065190796659","4.03290194112586","58.5596308655689","0.938115942031072","8.73298583363207","-2.35794202509178","-3.29030339120063","-1.71323498518134","-3.24232655353193","-1.73478052748717","-2.32279940578152","-1.51162080159779","-5.16764241625266","-4.16979139516459","-0.379643859773118","1.11902565537207","1.32969337068658","1.32969337068658","-0.811178604183732"
"-24.0","-15.776","-17.0637991687035","9.76724506364599","4.04968576489505","57.518732497617","0.886769937827761","8.70474555443779","-2.21637487704214","-3.53308319674845","-1.62001637895387","-2.35756292746174","-2.85824460887715","-1.32234439558907","-1.35420253001232","-5.73526837302335","-5.14999128762627","-0.595028465974138","1.1377848380342","1.64324909917367","1.64324909917367","0.0318581344232434"
"-23.5","-15.776","-16.5380118494123","9.79314425971172","4.0664936637752","56.4727418664822","0.909306030389231","8.67178243369377","-3.57948873804454","-3.07605935439691","-1.55616527123756","-2.36089748281801","-2.73889966719605","-2.05737648851769","-1.89608514769792","-4.13273008315416","-4.44838573842845","-0.969634906053937","1.15574793532846","1.23877774251755","1.23877774251755","-0.161291340819765"
"-23.0","-15.776","-16.0111587503247","9.82010039107054","4.08508854084335","55.3745617906723","0.983044479268642","8.63099801326326","-3.0417389515849","-3.64540172916998","-1.50480695512609","-2.34996939164401","-2.50618421096727","-2.29517691039247","-2.30288499545482","-4.66787024513228","-5.65456765215472","-0.0249880928446557","1.17299559495585","2.09203549306189","2.09203549306189","0.00770808506235449"
"-22.5","-15.776","-15.4941589553666","9.83714736154709","4.10619718909649","54.2064818741822","1.06771280418714","8.57675573958632","-3.64629949009299","-3.69588976140822","-1.46422796406219","-3.14720408910085","-2.57155361629723","-3.16141212860458","-3.12611474561173","-5.47973641955622","-4.45905154857252","-0.0957434085092984","1.18925128687091","2.37254682291476","2.37254682291476","-0.0352973829928501"
"-22.0","-15.776","-15.0146771268781","9.81648599423925","4.13070644934399","53.0448556578283","1.12524978243329","8.49941439234838","-3.21035968937024","-4.63752363063344","-1.43181757387509","-3.16768018871289","-3.0717065274159","-3.38000437160564","-3.57321256375173","-3.11369630198573","-4.0296343717584","-0.178560078464633","1.20380322392455","2.6371714731902","2.6371714731902","0.19320819214609"
"-21.5","-15.776","-14.6933990116104","9.63676337849705","4.16178807077838","52.2243144658949","1.14755134454637","8.35860481663656","-4.62900402879566","-4.9926499886431","-1.42219050451752","-3.23795741575852","-3.11831963120212","-4.42304764301422","-4.04401356724653","-3.35583676221704","-4.11319954475579","-0.271188047347345","1.21360415675065","2.59850935246989","2.59850935246989","-0.379034075767688"
"-25.0","-15.276","-17.6526497110768","10.1780264741356","3.99069613155323","58.2214372725189","1.02948405133804","8.77371312044524","-2.18048285666551","-3.09677943624004","-1.8475962030536","-2.28343667727514","-2.34315774003422","-1.07840102976324","-0.501020177260739","-6.19424267155542","-5.2295822861591","-0.168280879400755","1.113556967765","1.84149609848457","1.84149609848457","-0.577380852502497"
"-24.5","-15.276","-17.1188918771773","10.2119216694998","4.01388470570232","57.2441703231572","0.959172324610434","8.75342999262412","-2.69229356919314","-3.16695362736667","-1.70235690654616","-2.48064511849843","-2.07448763669405","-1.06818541070628","-1.19419682622264","-5.5528810343396","-6.54328753980778","-0.304815315357014","1.13332112776562","1.62396077603401","1.62396077603401","0.126011415516355"
