rho_core_over_rho_core_sun,T_photo_K,log10_g_cm_s2,log10_L_over_Lsun
1e-05,746.5540255126725,1.906224070369392,-2.709037834933147
1e-05,1265.4737506520223,2.0265407590803237,-1.536582036354998
1e-05,1506.8970593409779,2.1638222403547154,-0.9699598362983276
1e-05,1614.4310009135704,2.211162882294059,-0.7622646454409948
1e-05,1708.0775938179509,2.2580160366325446,-0.5759401702937887
1e-05,1791.6942043559193,2.3040872615973913,-0.4052250548946164
1e-05,1109.6667607854104,1.8398607747652753,-2.1211957213799177
1e-05,1326.568739291215,1.9736065146086932,-1.547546491382677
1e-05,1398.0076352959109,2.0184542077584373,-1.3673184327429393
1e-05,1494.0202067364555,2.0639210354757367,-1.163376565860167
1e-05,1658.907231029384,2.1544608063945048,-0.8037466424275922
1e-05,1875.504055326104,2.288184986952021,-0.32619661267631794
1e-05,1975.677630389362,2.3333186946016045,-0.14762039143926647
1e-05,982.5714333243401,1.6596933202143869,-2.688571002776138
1e-05,1053.4883395758247,1.7033568713786622,-2.480625444614615
1e-05,1121.0035924822682,1.7459063009637534,-2.2879008096780726
1e-05,1191.1610622448848,1.7894742632413676,-2.095681508240281
1e-05,1259.1997772332588,1.83380030076309,-1.9110364058344602
1e-05,1430.4190791396386,1.9248731596995008,-1.5089564180533317
1e-05,1510.3080603478043,1.9704070362372827,-1.3236285489498891
1e-05,1797.1191046585034,2.1490692595968612,-0.6660377367024227
1e-05,1135.8165726385023,1.6483690760724878,-2.458503889491057
1e-05,1219.6762174706723,1.6937568158643914,-2.244197950935403
1e-05,1385.7257391672792,1.785517898279484,-1.8394254774615904
1e-05,1894.562756808729,2.1024093720679025,-0.6635922394642487
1e-05,1986.4769808577234,2.1474024114582155,-0.4912505200857086
1e-05,2114.836915884715,2.1925250278304236,-0.2927582768142772
1e-05,2246.7687674112485,2.2372048119381627,-0.09912792796289151
1e-05,1265.2335673132768,1.592163639005464,-2.38269385979026
1e-05,1345.0059921789475,1.639395923659734,-2.1826170893236405
1e-05,1479.8915783629866,1.733612852129913,-1.8276557043104533
1e-05,1692.3568641979098,1.8735945654707795,-1.315030241871982
1e-05,1840.9817861765484,1.9660512095159062,-0.9844994935367433
1e-05,2143.8377698485433,2.102426103573796,-0.44703855301730916
1e-05,1355.900703086459,1.5272030430027186,-2.3926865315635393
1e-05,1508.9072692181485,1.6284271501274992,-2.0042682856149963
1e-05,1654.8667221018266,1.7294480657319142,-1.641858696895314
1e-05,1714.2414052108154,1.778986008635884,-1.4813627667475922
1e-05,2345.2546817975476,2.057618042915004,-0.3798053934752888
1e-05,2539.1599219824284,2.1023577458133267,-0.1531577181070406
1e-05,1476.2492233007968,1.4579178406664268,-2.3825911010407648
1e-05,1547.1977209413885,1.5171631101729792,-2.182705839256494
1e-05,1609.5410984751904,1.574401026160795,-1.999986618503703
1e-05,1671.7383948114489,1.6273967606704614,-1.8280250241918754
1e-05,1731.7575591242457,1.677542446360636,-1.666621927298445
1e-05,1809.4699860691924,1.7265319550698996,-1.4918868540409151
1e-05,1878.5216281371925,1.7754724767402097,-1.3290895735923678
1e-05,2103.920846054806,1.8739573356465933,-0.9352300119432025
1e-05,2272.7206685989413,1.92221045011647,-0.7053349778220034
1e-05,2457.622221762887,1.9679833598646064,-0.4779902839873012
1e-05,1431.5675887343687,1.236006364789113,-2.880529644008357
1e-05,1562.031048428465,1.3894834095371968,-2.421555269093984
1e-05,1621.34039210977,1.4495046188947573,-2.236682795909326
1e-05,1683.6515641460066,1.5083390511408774,-2.0534994196044867
1e-05,1756.7510722678276,1.5643289671804033,-1.867725410129937
1e-05,1826.1369537849753,1.620414481376753,-1.6886021709432322
1e-05,2198.6111502012986,1.7844389176812985,-1.0378063565244646
1e-05,2369.5905102689435,1.832125971184927,-0.8122205369278904
1e-05,2550.161708191372,1.8768696251265928,-0.5955837078678188
1e-05,2718.844245393267,1.919698811851321,-0.39890138868242336
1e-05,3083.1373467033236,2.0066887683424848,-0.0062656326240125215
1e-05,1635.1493576894864,1.2870443353552645,-2.547324151041389
1e-05,1708.117973249324,1.3664828081430545,-2.312271614656515
1e-05,1781.3867132373064,1.4383932438213414,-2.0952186767566996
1e-05,1855.0056215345528,1.5057682839098678,-1.890174054851977
1e-05,2406.980347517081,1.7351629502579136,-0.9793523407959251
1e-05,2566.849752401583,1.7794561249755607,-0.7787893825193509
1e-05,2751.423368553728,1.8235196991818707,-0.5698649119167187
1e-05,2971.52382799815,1.8661006910141669,-0.35151661391840056
1e-05,3215.190527699441,1.9098292977082856,-0.12698261863310897
1e-05,1701.7775639344688,1.1764314369477344,-2.6984203981896346
1e-05,1892.199063631716,1.3840298710583778,-2.0990251367223056
1e-05,1994.0204517856375,1.4575389823764333,-1.861116781476399
1e-05,2439.7630053009957,1.62556194337207,-1.1746794252388868
1e-05,2643.9155897693977,1.6745085118488123,-0.9373989791323554
