rho_core_over_rho_core_sun,T_photo_K,log10_g_cm_s2,log10_L_over_Lsun
0.01,2816.5943376858163,3.5532193544430104,-3.070261449998723
0.01,1369.1008028829012,2.6234878105493573,-6.182334765584324
0.01,1486.3285141770923,2.7128807172138427,-5.861445716901175
0.01,1594.803129862302,2.79356804126671,-5.577090069240244
0.01,1789.5288151217915,2.939061645344984,-5.086391516752526
0.01,1867.7588577523786,3.0045809208519736,-4.881104443819572
0.01,2027.277298655303,3.116647085742099,-4.514336200596189
0.01,2106.763538404326,3.1670769750848056,-4.346423583242432
0.01,2198.112061988625,3.21831417498888,-4.170481082630461
0.01,1706.6219162897505,2.6899077700852514,-5.666672772312955
0.01,2045.6237490396206,2.986879283379154,-4.75828025315394
0.01,2244.4096970650908,3.1084296070692994,-4.354425036883848
0.01,2479.5640646028137,3.2162932169725145,-3.9655071591721107
0.01,2775.2958605350254,3.3154385407207396,-3.5710165932580917
0.01,2954.9480797434667,3.363104890442763,-3.366656771405369
0.01,3178.908170789813,3.4101175117316584,-3.145721514720636
0.01,1854.4823709902416,2.6092169648420307,-5.6836392477738205
0.01,1969.4177685980444,2.729691311962424,-5.338161143643051
0.01,2073.0197829842787,2.8295408998947282,-5.049806588060038
0.01,2169.1536547776336,2.9107436686390837,-4.808392285124784
0.01,2275.2304565785253,2.979850260930978,-4.587379758334441
0.01,2394.6870196684513,3.0424247182163153,-4.373515955603667
0.01,2524.629436085903,3.1014639370155566,-4.163513643268258
0.01,2679.3107447065554,3.1565075000215375,-3.9504466167379757
0.01,2870.891688029923,3.210334059853903,-3.72257333947128
0.01,3092.869986768145,3.261326435203406,-3.4913070920931855
0.01,3554.5737368230857,3.356735670993989,-3.0584982031300907
0.01,2283.9394228192955,2.8042683457289663,-4.9320308703031
0.01,2426.6765690693514,2.891359074942223,-4.652850543090414
0.01,2584.9092476769283,2.9692254666424107,-4.3869087703243945
0.01,2786.644982446917,3.03702918191055,-4.12096478958672
0.01,3221.470589131819,3.150034895435863,-3.6426398127559114
0.01,3663.050295174745,3.2501704532676254,-3.2194005637669267
0.01,2861.8144417426975,2.8806014031180327,-4.387807600665925
0.01,3080.700255375994,2.9487696474771585,-4.123452955071587
0.01,3300.0195132305266,3.011142455583318,-3.8787447311304053
0.01,3525.9119364635085,3.068291040144774,-3.649609361748423
0.01,4049.4739996904163,3.1760736950155266,-3.1936713765070106
0.01,3911.407515078907,2.9488961308792145,-3.7080998786331225
0.01,4201.605289800847,3.01726968890611,-3.4467321942482467
0.01,4631.490023532094,2.681932829751081,-3.9485274672514894
0.01,4919.425414923618,2.841511911053816,-3.5244814545348486
0.01,5171.554514069363,2.9556675508210333,-3.209888492047087
0.01,5659.125754623289,2.9175475847719277,-3.1289432433871145
0.01,6162.47717644146,2.869799131352157,-3.076407123299804
0.1,505.6708716313823,3.1073741246578197,-8.94535456096626
0.1,559.9570355469276,3.211918193788554,-8.558666805056921
0.1,705.1552108234995,3.393766900171461,-7.794318812827326
0.1,763.73877940891,3.440998174265858,-7.561758026863652
0.1,893.1821837097909,3.527580523991726,-7.11628075631466
0.1,960.2455754236162,3.569874431917305,-6.905850833824976
0.1,1027.8269679937919,3.6117936953076484,-6.70406698868331
0.1,1167.7763828639393,3.6968606852007353,-6.312260669549593
0.1,1368.2613570469332,3.7856696995414247,-5.85911635535169
0.1,1478.9089091735184,3.8306027952987884,-5.633934814746299
0.1,1585.6246389972764,3.875963050521338,-5.422451697973655
0.1,1689.3695861350275,3.921407044158817,-5.221222176365126
0.1,1783.6510146270218,3.96642155413842,-5.037050238656695
0.1,1871.2585999907692,4.011329123028794,-4.86425612626981
0.1,2355.8449585119047,4.233155918799442,-4.020148633552511
0.1,2463.210387710556,4.277371789009942,-3.854889718480992
0.1,2578.912110056493,4.321341288206097,-3.686905564214319
0.1,2990.6008395860863,4.453080217845813,-3.1663231956420983
0.1,632.5667691845769,3.178213418840453,-8.414472355920092
0.1,957.8115463150625,3.4588637855513964,-7.132126983743207
0.1,1043.8711455608432,3.5048932662369383,-6.890715782699148
0.1,1137.6234479091227,3.5512044505489966,-6.648967607210883
0.1,1237.4104256332048,3.597291741833502,-6.410712100962693
0.1,1340.7366835761272,3.6435632156455564,-6.179113419956801
0.1,1441.7825419681983,3.689930327996339,-5.960003005791743
0.1,1544.02590906228,3.7361923156238195,-5.748477078015446
0.1,1729.5173467126015,3.827811255057224,-5.367737607334545
0.1,2095.0095605289403,4.008847588586428,-4.672651772521933
0.1,2393.212985084155,4.1440376965864605,-4.171102043169347
0.1,2747.9942973359775,4.276887261903312,-3.665831564092512
0.1,2897.9729427073325,4.321021343849717,-3.485305214702942
0.1,681.2453154974207,3.071356781983784,-8.499572044780797
0.1,779.2151920480782,3.1862365524807164,-8.036402453887574
0.1,849.8253591553386,3.24879703957837,-7.760619205214917
0.1,929.395727985623,3.3011063933966405,-7.500456330454339
0.1,1019.8085805534462,3.3443789425850214,-7.252270695271717
0.1,1305.186097778367,3.488734963112375,-6.534906026764547
0.1,1492.1694785934858,3.58523311638264,-6.10996354099513
0.1,1660.9584862116283,3.680476753150078,-5.733006178492277
0.1,1737.4693074326547,3.7271430279596096,-5.561365856462311
0.1,2038.13501271029,3.869719616968373,-4.998556621862109
0.1,2425.729138905123,4.0533377341261145,-4.32949506903981
0.1,2541.0109549415088,4.0982979144464355,-4.15873171783249
0.1,2662.7681295029647,4.1431822216223315,-3.987472417579939
0.1,3328.5943958574735,4.320642447024113,-3.245188997304103
0.1,3551.7401364561106,4.364707827215883,-3.0440472093793876
0.1,1052.6052194578501,3.2175742055068195,-7.450973649287453
0.1,1149.4129079659842,3.2493716290675048,-7.2348709952138375
0.1,1244.7942214708596,3.3000900186411757,-6.994811530133481
0.1,1338.8676609053655,3.354616309953075,-6.759266277076987
0.1,1425.6617747814014,3.4082104574268124,-6.542921557942416
0.1,1504.6773892576746,3.4594382727175694,-6.346597929048693
0.1,1798.1413515656725,3.6197690824431437,-5.716330180562936
0.1,1894.0452894919338,3.67243184135584,-5.520933903139531
0.1,2078.180044059041,3.773201623552185,-5.158569008606419
0.1,2159.0450920940207,3.8211740780176227,-4.9956592104892525
0.1,2592.4693677775754,4.006711603178136,-4.307309811339012
0.1,2718.6767189107813,4.052544575704051,-4.132611339634257
0.1,3022.65315239117,4.1424659694156265,-3.7690804446831603
0.1,3220.387475497574,4.187098391710668,-3.569849659653441
0.1,3437.8330169292863,4.23156501981118,-3.3669885510178954
0.1,1331.0596303222455,3.156641262082597,-7.164862234216825
0.1,1445.2704912203199,3.230309060448512,-6.875139136296623
0.1,1555.7946006733735,3.3046266829833693,-6.598028101589735
0.1,1658.6805705081174,3.3759113341590643,-6.344792576567437
0.1,1755.718246591496,3.4443988251979567,-6.108915429306924
0.1,1930.2605211236719,3.563183782800732,-5.706813944166404
0.1,2012.5829258256376,3.6161251624171276,-5.52814083713532
0.1,2189.6738801480255,3.7177471019173165,-5.177840343978916
0.1,2771.2583612215794,3.95929941685091,-4.286387574297864
0.1,2932.350564078271,4.005309042194925,-4.09575194715166
0.1,3121.144837346929,4.051087824803949,-3.895651069924325
0.1,3333.1555137565033,4.096334281191597,-3.691606076698692
0.1,1675.5906400219085,3.2093654415456845,-6.660079352224768
0.1,1852.6800053028358,3.356093387616803,-6.191951568471611
0.1,2143.512130309749,3.5473339953611287,-5.5557293223102615
