"#Xi","#Rho","#Lumi","#Mass","#Temp","#G","#Gbp-Grp","#Rad","#O2S","#O2L","#H1S","#N2S","#N2L","#S2S","#S2L","#S3S","#S3L","#Halpha","#Hbeta","#HaNII","#HaSII","#SS"
"-17.79201716089525","-7.776359361583042","-3.5496739641164265","15.055610400638644","4.0165319409572655","24.163428478838032","0.6596520628458578","8.027349607774756","-8.10012480397899","-8.711527199400217","-1.6968039425795112","-9.075204004202087","-7.1004530689091325","-8.562090964460502","-8.05472841849229","-6.104080454689984","-7.252355180671752","-0.17276000049435455","1.402278581895561","6.923114370244759","7.764394886228595","-0.5073625459682114"
"-18.043075330908085","-7.276359361583042","-3.5268471568549353","15.313541108881452","3.9973252118523988","23.871387333983066","0.5383829118293697","8.051152522447381","-7.842845560093719","-8.923359556329657","-1.1084067956510348","-7.150334944521267","-7.00864099736205","-8.79778422419887","-7.4050552633049165","-5.1220530483708115","-6.269621531412357","-0.5439377755450486","1.401779521353841","6.228766974063241","6.843882563077372","-1.392728960893952"
"-19.97360519161073","-9.276359361583042","-7.580956678983523","13.172156440544791","4.021189299069938","31.85541621927342","1.1614038030255784","7.931966114728173","-7.936666641048251","-8.64994590642097","-1.4985299278995878","-7.305394801066432","-7.39040559077478","-8.09799710864927","-8.47638358094563","-6.5320960534772","-6.570893991667304","-1.7210178831345568","1.372193719275734","5.3237755793235015","6.225174056944785","0.3783864722963586"
"-21.553031790696092","-6.776359361583042","-7.0290691184180645","15.28578850207489","3.7749328133874","29.512466842061514","1.2826845102181395","8.058805486675906","-8.450138811528058","-9.033952178923546","-1.1115396819646137","-8.315244377891377","-7.685922008220787","-7.19375217280421","-6.552841968657781","-7.247260306064672","-7.655018586072742","-0.7607005208731075","1.3667403898429105","6.833628757405566","5.702728411899269","-0.6409102041464289"
"-21.287937784609788","-6.276359361583042","-6.310204884047093","15.741144628800676","3.7210352806230325","27.613710508934926","1.128294195325477","8.051152522447381","-8.487315603782836","-9.087034379295897","-1.0013048416883443","-8.10902040301031","-7.230992129056226","-6.544393887418133","-6.039053804266168","-7.224608028303388","-8.047013934802944","-0.4346244972859264","1.357534654597579","6.742357979268024","5.486375250410224","-0.5053400831519645"
"-19.979979136622276","-8.776359361583042","-7.135869867157683","13.619640619973163","4.000954398406458","30.599945083770486","1.1824689011349179","7.946943270697825","-8.031984286006358","-8.858863909879261","-1.4788619162959638","-7.174573882232177","-7.036306594761982","-8.240709966975697","-9.027797161620935","-6.019269623464055","-7.2262135550188065","-1.05492551152127","1.374693368545393","5.744005257327424","7.120103027355037","0.7870871946452395"
"-20.02055720826488","-11.776359361583042","-9.909893461468709","10.924538493731154","4.130526745384164","41.461843200661825","1.053098187859213","7.7283537820212285","-8.10790539730952","-7.096964303211503","-1.1159980752312129","-7.392866795608433","-6.1122139651616285","-8.862962545210488","-8.24772101453988","-4.43937612545007","-5.6129662987176365","-0.49498575991589294","1.3121773564397787","5.595046575010044","7.658429737186061","-0.615241530670606"
"-21.264114548970483","-6.776359361583042","-6.6726446406393345","15.355506330666287","3.829310206775691","28.67988463160794","1.1792060189751723","8.006466042249231","-8.02154556663477","-8.057000406633959","-1.8041003475907662","-7.2140298748679905","-7.1256921668719615","-7.1700533040583645","-7.4701848033553695","-6.36825192560343","-7.3811155150045495","-0.2746601840902628","1.3675236418690195","6.5919286599987155","6.719002155535186","0.3001314992970056"
"-21.190293769300354","-6.276359361583042","-6.147488175624434","15.807566300455337","3.7779702566398683","27.25942697923719","1.0321073393932956","8.04336227802113","-8.181444220702197","-8.280420142286276","-1.15002808767115","-7.653255945395151","-7.259321574772545","-6.719421629631924","-6.155212281172154","-6.344957658668799","-7.279757981712943","-0.09291125492570443","1.3633675029434862","7.019134041265494","5.957552371698153","-0.5642093484597702"
"-20.003377404378647","-11.276359361583042","-9.256584105403238","11.558441262086339","4.104794286486278","39.053348707550185","0.8674707102892896","7.841984804590114","-7.317674381332193","-7.235524972565591","-1.248797905411647","-7.007313960837872","-6.451856362565154","-8.940815382368628","-8.111708154643484","-4.603800652904264","-5.490125714995281","-0.3928667956084333","1.3348556896172916","5.952350421710557","7.658818063702219","-0.8291072277251441"
"-20.53334895237753","-12.276359361583042","-10.953060629439745","10.390712996306979","4.130623201682595","43.80102143090535","1.1730166967102917","7.7283537820212285","-6.053793446157217","-7.055517327849832","-1.443094730944552","-6.1861522457711455","-6.088416299018924","-8.008109696063975","-7.238222462491822","-3.2051635421854385","-5.110698297493689","-0.25196710586985643","1.291701770729981","5.581543575804198","6.9181183217494455","-0.7698872335721532"
"-20.50828754739274","-11.776359361583042","-10.257653183302892","11.06216871130781","4.106190897263415","40.944778033523534","1.0967904735791052","7.848189116991398","-6.065855188207523","-7.094743951251549","-1.2231535913047007","-6.986741334716483","-6.699621935129297","-8.371713268910487","-7.346498053037068","-4.0016534626036355","-5.471726222832956","-0.9792245118064422","1.3176455432211587","5.539619617365522","6.328113601920475","-1.0252152158734185"
"-20.02321767361759","-8.276359361583042","-6.72095708217438","14.075122508178117","3.978016084115899","29.443930645654092","1.180876515058774","7.9661417327390325","-7.768275616671484","-8.363612414186843","-0.9718355805755301","-7.017955020928509","-7.110082316563794","-8.3465945093355","-9.10790539730952","-6.4029633350223465","-8.537602002101044","-1.51427857351842","1.3767593954048798","5.246271785024406","6.762923029610675","0.7613108879740208"
"-20.41243495193958","-11.276359361583042","-9.74638634494087","11.470043406116073","4.084003990608029","39.10993521519835","0.8532022658463418","7.889301702506311","-7.557520230935552","-7.051880575619464","-1.975514332300833","-7.6307841425898575","-7.777283528852417","-8.849857838151442","-8.183758700008218","-5.023191662661934","-5.168258166354362","-0.19804776514571829","1.3346145711793944","7.1988078622341","7.900875519128027","-0.6660991381432244"
