"#Xi","#Rho","#Lumi","#Mass","#Temp","#G","#Gbp-Grp","#Rad","#O2S","#O2L","#H1S","#N2S","#N2L","#S2S","#S2L","#S3S","#S3L","#Halpha","#Hbeta","#HaNII","#HaSII","#SS"
"-17.500187514037158","-12.776359361583042","-9.385231496505499","11.948343236127341","4.16118825698226","41.60472183395099","0.856227933758106","8.34537373055909","-7.016824927962187","-6.785686102575601","-1.872571222148401","-6.0756690152913215","-6.429223631205252","-8.228780098050466","-8.071092309756047","-3.117589315626032","-4.241088107602026","-0.13489602535887207","1.3077099234048066","5.781493869478817","7.7068923054270275","-0.1576877882944191"
"-22.003896665115793","-17.27635936158304","-16.152030941677324","9.686409914960578","4.159927952895985","55.77319145197244","1.0743577005891538","8.879382637174343","-2.7342390832823895","-2.714892970433188","-1.3267947182209547","-2.207048291749868","-1.1825007381322417","-2.1247650535498352","-3.1243600629958315","-3.2493373538659442","-3.0183172726287144","-0.22453519065426075","1.1697919538760315","0.9187479996449783","1.8588003448043422","0.9995950094459966"
"-21.001478781949718","-15.276359361583042","-13.007008042550382","11.829261496141847","4.105986795521472","48.04436980519275","1.118197121463659","9.060886623004663","-4.23455498190985","-4.211831628858833","-1.3376199799837525","-3.4480623046351626","-3.023971159908874","-3.4590451910738675","-4.198596289982645","-4.138286412428566","-4.205860644232226","-0.1737955765007473","1.2547413760915367","2.711360010354229","3.2125739885740123","0.7395510989087777"
"-21.002865902797645","-14.276359361583042","-12.044930411823513","12.792686941654667","4.066325925362038","45.77135717168221","1.1378736485456429","9.157003196832525","-4.9186526921958675","-4.747875447494356","-1.3491099221436875","-4.087246696328677","-3.2222832613903742","-3.4332090876184083","-3.982549270489464","-5.568958054664114","-5.91721462968355","-0.03602339000339422","1.2753574310875981","3.1307019707060424","3.2892072959811793","0.5493401828710557"
"-19.514646161127054","-15.276359361583042","-13.487993131984712","9.85532274505367","4.211440935578669","49.093595466146766","1.141665968054383","8.177536499929863","-4.597394758080085","-5.129888844635599","-1.4212462155735655","-5.735182176990463","-4.022276394711152","-5.133712660915805","-5.351347304868777","-4.059483515067432","-4.542118103266008","-0.5865325870141752","1.2469415124832546","3.4274126322161296","4.341475005861649","0.21763464395297188"
"-19.500429074358223","-14.776359361583042","-11.311819293716285","12.022906769508237","4.160648574436162","43.72244530590275","1.1410003723956237","8.802431626430723","-5.338471259868017","-5.083967389811431","-1.4386600585410987","-4.340654364253823","-4.532836034030909","-5.126098402135539","-5.322758154053346","-4.052762392129334","-5.118729496070642","-0.49811950624494133","1.2964019016921435","3.627050915875337","4.414241025442418","0.1966597519178074"
"-19.501494792058917","-14.276359361583042","-10.555897755828024","12.780306588184564","4.130301597341845","41.89575907272177","1.1539798002835653","8.968716377466786","-5.141643294702226","-5.103418672494267","-1.555486793665957","-5.253365801062421","-4.949233688766958","-5.0585879596264505","-5.118615343229427","-5.080712659495617","-5.833569886156718","-0.2688949487840796","1.3117750456357398","4.505279059754027","4.517640422176364","0.060027383602976825"
"-19.502446560032112","-13.776359361583042","-10.012420915944256","13.32480776165811","4.106088858382442","40.53119821441273","1.1849242881578448","9.055187138555754","-5.03343591590269","-5.9657727392294495","-1.7314220281171568","-5.636764195516307","-4.881074247174223","-5.02323747673254","-5.031750605892083","-5.278024598414047","-6.781727146428553","-0.8735438865681957","1.3222813323716083","3.9373028104699146","3.8528992999019676","0.008513129159543295"
"-19.61403714824995","-7.776359361583042","-4.588163848867497","18.85999521443324","3.773340223171566","23.501714305425338","1.3002813055775704","9.574320700915308","-7.145329668104664","-7.103749437538362","-1.055862926841902","-6.168194191325609","-6.022825323979813","-6.111146833017064","-5.270511230820439","-5.239879214735432","-6.176590985107455","-0.5590909179347823","1.4048850082148132","5.2293347185823675","4.652868047190445","-0.840635602196625"
"-19.029663567785256","-14.776359361583042","-13.449214645895802","9.400869214413238","4.211200662000257","48.98458869327824","1.1411254225855743","7.860338006570994","-7.251811972993799","-5.2869296741443605","-1.8979094744881633","-5.6192462291961","-4.075979299525932","-5.928854709548917","-5.278601624478495","-4.116452120731957","-5.0675262353228465","-0.7011469235902933","1.248635244699329","3.3625756463671017","4.48976494506336","-0.6502530850704226"
"-19.002222873792523","-13.776359361583042","-9.553647204129563","13.283295319413883","4.130526745384164","39.16584266619891","1.219613102419622","8.97104379183603","-5.242376254091611","-6.019814763052665","-2.0830199526796176","-5.316142794599654","-5.573488738635425","-5.678401569534656","-5.1334173229364515","-5.3263341237542985","-6.373865021364612","-0.09496007192378847","1.3325798351056986","5.030036574476171","4.92951621511588","-0.544984246598205"
