"#Xi","#Mass","#Temp","#Rad","#Lumi","#HaNII","#G","#Gbp-Grp"
"-23.5","11.2431649395492","4.03151867661059","9.22776069308257","-16.0915269950411","1.19166347990933","54.7811917574169","0.953332384744379"
"-23.0","11.2703499681309","4.04957905986252","9.19873311059828","-15.5643774254399","0.680965669807615","53.7470257610349","0.906079770872393"
"-22.5","11.2962646057456","4.06721733777555","9.16352169464595","-15.0384956280804","1.49820566963071","52.6958368850455","0.925660770360475"
"-22.0","11.3204978987307","4.08502101838355","9.1242439963729","-14.5142926427164","1.89892926802925","51.6044648316397","1.00169065332693"
"-21.5","11.2679122511032","4.11016645516898","9.03498400961145","-14.0667856038777","2.00195426123711","50.6195373499621","1.07967739275237"
"-21.0","11.1986735011755","4.13537130180528","8.94276816870448","-13.6359207616529","2.32946848178518","49.5361002404167","1.11101328634224"
"-20.5","11.7276081450704","4.13334697497639","8.95302318564097","-12.6070291769904","3.04799762845149","47.0303680192708","1.13921824742791"
"-23.0","12.2137099695212","4.01212775554492","9.2467327995059","-14.6209411252559","1.55994361037972","51.1962493100079","0.97521059738274"
"-22.0","12.2691510288694","4.04966456463945","9.19166158106714","-13.565570833841","2.29514532505176","49.2162088828958","1.02873318303032"
"-21.5","12.2937896172479","4.06634303722317","9.15904794556062","-13.0409639511552","2.67795180360324","48.0863595696521","1.06486930751744"
"-21.0","12.3113825215143","4.08622854542768","9.10874798698981","-12.5233886233375","2.9234303765511","46.9014288503642","1.12807791387919"
"-22.5","12.7125041617131","4.01156766656452","9.24420160839817","-13.6221436614832","2.42840941086366","49.0145814673604","1.05478155193041"
"-22.0","12.7438840141232","4.03307384379992","9.22195046601591","-13.0908041439438","2.36418697873387","48.0229605887323","1.06612238476577"
"-21.5","12.7687856025258","4.04972509954952","9.19031300729399","-12.5659351568697","2.71956993988742","46.9506851771009","1.11454030985351"
"-22.5","13.1809579318693","3.99004814214338","9.26597307409331","-13.1536492782467","2.8947876066924","47.7986955644885","1.14250375777286"
"-22.0","13.2135700086188","4.01265129559789","9.24477549459163","-12.6210792978187","2.5546647057174","46.8711227634677","1.15455688899311"
"-21.0","13.2667630946085","4.04931803527934","9.1836318675952","-11.5679533371241","3.3783610466868","44.5586475534282","1.16884198623247"
"-20.5","13.2913616984118","4.06718713234755","9.14828109829602","-11.0433848698951","3.74420576365968","43.2512261757888","1.16653875664128"
"-23.0","13.5994282676062","3.9349097549383","9.29943064441826","-13.2350682893345","2.64181976233463","47.2818134799638","1.1957560338952"
