"#Zeta","#Rho","#Lumi","#Mass","#Temp","#G","#Gbp-Grp","#Rad","#O2S","#O2L","#H1S","#N2S","#N2L","#S2S","#S2L","#S3S","#S3L","#Halpha","#Hbeta","HaNII","HaSII","SS"
"-22.5","-15.276","-14.5652820952137","11.7694405517154","4.04955685399856","51.4496121711338","0.919249621655216","9.19608751188248","-3.55090033054007","-3.01146989511114","-1.48600692119798","-2.41367744677371","-2.98527088054537","-2.47913453690442","-2.01437189153031","-5.30456958396856","-4.38839366814082","-0.859571165187393","1.21110267891572","1.44653903988478","1.44653903988478","-0.464762645374106"
"-22.0","-15.276","-14.0403429518238","11.7944125916993","4.06626568262454","50.4087607021669","0.991412636741454","9.16131162339788","-3.74936364661099","-3.71491390835285","-1.43013419189054","-3.24457858582984","-2.27996984462116","-2.39118583494443","-2.63448826100712","-5.54640310545514","-6.13283095430599","-0.0104693287598779","1.22629982764319","2.22473960157816","2.22473960157816","0.243302426062691"
"-21.5","-15.276","-13.5163214905481","11.8184627062356","4.08510576796225","49.2655532613841","1.07100007748959","9.11791721287989","-3.10211308497548","-4.11570674998823","-1.38168392598704","-3.14858400825334","-2.41233511104188","-3.39632723701861","-4.32733487751765","-5.02958033230712","-6.57663277034859","-0.0856776668148891","1.2409335199315","2.25341133385692","2.25341133385692","0.931007640499041"
"-21.0","-15.276","-13.0054006909752","11.8293897175111","4.10604799656208","48.0403627366397","1.11825712346727","9.06064174417313","-4.23794832239674","-4.21285275238283","-1.33754909564047","-3.44960208350414","-3.0256059451128","-3.46333987103309","-4.19935626816389","-4.13913316802444","-4.21040760415006","-0.174047265531401","1.25478163488855","2.71263599443354","2.71263599443354","0.736016397130803"
"-20.5","-15.276","-12.6070291769904","11.7276081450704","4.13334697497639","47.0303680192708","1.13921824742791","8.95302318564097","-5.14614299924482","-4.46047550486988","-1.31823699120916","-3.83531462953176","-3.52746544280962","-4.94341414585634","-4.47824272808866","-4.35475985257901","-5.53300352492872","-0.276191504760037","1.26518622354063","3.04799762845149","3.04799762845149","-0.465171417767683"
"-20.0","-15.276","-12.7580042629361","11.0745727982814","4.16796160975074","47.3407696434291","1.14139442607482","8.66021393956446","-4.36713887577388","-4.77852354849161","-1.35666969804967","-4.49335993033765","-3.78703866853304","-4.93975999661606","-4.67691141361805","-4.25899142049753","-4.77696864579462","-0.423157083621132","1.26272796168088","3.20854309807278","3.20854309807278","-0.262848582998006"
"-24.0","-14.776","-15.6905351001695","12.1440258002089","3.96468192042661","52.9928537813325","1.0190298567649","9.28661650678029","-3.54766004373185","-3.15776242967317","-1.86045519948416","-2.19282639524907","-2.08131431660191","-1.296826422589","-3.86142249006164","-6.90952589287028","-6.11413375930555","-0.0952745626950623","1.17247591747904","1.7351364178359","1.7351364178359","2.56459606747264"
"-23.5","-14.776","-15.1524969200197","12.1821146551008","3.99105560397439","52.1325413089302","0.996924715422622","9.26847775978083","-3.50900171541569","-3.37296896894894","-1.69507021643393","-2.42242478653741","-3.15896376021046","-1.09468621014487","-1.70415832106633","-6.44425340528498","-5.24229160767641","-0.222445063735066","1.19048527201733","2.12248330099667","2.12248330099667","0.609472110921453"
"-23.0","-14.776","-14.6209411252559","12.2137099695212","4.01212775554492","51.1962493100079","0.97521059738274","9.2467327995059","-3.81442704704825","-3.96063245302766","-1.60985079312742","-2.58502520193048","-2.13628974758732","-1.90993007698662","-1.3089040098898","-5.87385533986783","-5.21548584888407","-0.383001263735972","1.20667594616131","1.55994361037972","1.55994361037972","-0.60102606709682"
"-22.5","-14.776","-14.0907073255223","12.2439810274522","4.03303050989775","50.2291908496687","0.967432995837771","9.2223466943883","-3.16601084831303","-4.89524728226012","-1.51292551106927","-3.25203194151208","-2.63899430006586","-2.1459292732345","-2.26627974552317","-5.14835208999203","-5.19679208482898","-0.574166210804752","1.22248168687304","1.96982889299885","1.96982889299885","0.120350472288664"
"-22.0","-14.776","-13.565570833841","12.2691510288694","4.04966456463945","49.2162088828958","1.02873318303032","9.19166158106714","-3.71730923180193","-4.32883786818274","-1.45212034214154","-3.64328250322894","-2.64828203194268","-2.51774800843397","-2.72184287769128","-5.32897960581894","-5.67194467614892","-0.303316118652564","1.23678694176292","2.29514532505176","2.29514532505176","0.204094869257311"
