"#Xi","#Rho","#Mass","#Temp","#Rad","#Lumi","#HaNII","#G","#Gbp-Grp"
"-21.001478781949718","-15.276359361583042","11.829261496141847","4.105986795521472","9.060886623004663","-13.007008042550382","2.711360010354229","48.04436980519275","1.118197121463659"
"-21.002865902797645","-14.276359361583042","12.792686941654667","4.066325925362038","9.157003196832525","-12.044930411823513","3.1307019707060424","45.77135717168221","1.1378736485456429"
"-19.501494792058917","-14.276359361583042","12.780306588184564","4.130301597341845","8.968716377466786","-10.555897755828024","4.505279059754027","41.89575907272177","1.1539798002835653"
"-19.502446560032112","-13.776359361583042","13.32480776165811","4.106088858382442","9.055187138555754","-10.012420915944256","3.9373028104699146","40.53119821441273","1.1849242881578448"
"-19.61403714824995","-7.776359361583042","18.85999521443324","3.773340223171566","9.574320700915308","-4.588163848867497","5.2293347185823675","23.501714305425338","1.3002813055775704"
"-19.002222873792523","-13.776359361583042","13.283295319413883","4.130526745384164","8.97104379183603","-9.553647204129563","5.030036574476171","39.16584266619891","1.219613102419622"
"-18.517539583701883","-10.276359361583042","16.672723377584997","4.012795058145413","9.463669068134386","-5.679289214522477","5.435282814442697","26.942677929710197","1.2582931321755666"
"-19.002726117692074","-13.276359361583042","13.82500460935288","4.106428894793411","9.055569440060989","-9.012501811994731","5.065826029055318","37.26615431322675","1.3377467202573783"
"-19.284182909725388","-8.776359361583042","18.025659883294338","3.907814293676757","9.56437012251532","-5.09279326139991","6.260185813138429","25.081378069583508","1.234471869011017"
"-19.284182909725388","-8.776359361583042","18.025659883294338","3.907814293676757","9.56437012251532","-5.09279326139991","6.260185813138429","25.081378069583508","1.234471869011017"
"-22.0027180336904","-15.276359361583042","11.793940016197615","4.066176785772006","9.161517733138682","-14.043533426909542","2.224285607489001","50.41582143047806","0.9909838768613781"
"-23.503949704485986","-16.27635936158304","10.77043902713609","4.04941186087108","9.205880729887538","-16.568239621544414","0.39084596196656535","56.09747849817283","0.9465864191295026"
"-18.78886866798796","-7.776359361583042","18.983154626577935","3.8721854190509046","9.559248104088253","-3.639955623822485","5.443556260660489","21.315459914028757","1.1752484309767226"
"-23.50510350388343","-15.276359361583042","11.714691795500269","4.013300786856888","9.2500538695218","-15.625066044756837","2.005462895701502","53.48517628611239","0.9610196475396791"
"-22.005055549665805","-13.276359361583042","13.68257186112698","3.9920053335968495","9.267758216651366","-12.157093738554366","2.743931562909723","45.7311105961909","1.243239231821704"
"-18.506970343517654","-10.776359361583042","16.218429553253365","4.032135046879902","9.435923958119165","-6.123129083310333","5.72619126817587","28.08331783922145","1.2319330190192908"
"-23.505355385282208","-14.776359361583042","12.18143857347369","3.99084479280467","9.268694953562179","-15.158527991482345","2.128370384112568","52.14347379029306","0.9971106268798451"
"-23.504702252624128","-13.776359361583042","13.10439171889944","3.938159331413048","9.30200606058654","-14.234816251135182","0.5631777170270929","49.38641353425701","1.0861143893372045"
