"#Zeta","#Rho","#Lumi","#Mass","#Temp","#G","#Gbp-Grp","#Rad","#O2S","#O2L","#H1S","#N2S","#N2L","#S2S","#S2L","#S3S","#S3L","#Halpha","#Hbeta","HaNII","HaSII","SS"
"-23.0","-15.776","-15.1192161598397","12.7166512310277","4.01303565741819","52.0562545189155","1.04394309706764","9.7498376920862","-2.60041549190113","-2.49036003491677","-1.63344053838961","-2.63024462689206","-1.60608541024878","-1.33898867420717","-0.0423525563894049","-6.07672429538419","-5.36565159417724","-0.342232294348896","1.19261810755457","1.22432620386859","1.22432620386859","-1.29663611781777"
"-22.5","-15.776","-14.5909119119258","12.7449667902412","4.03259075211875","51.0167602511957","0.937924430467261","9.72520657405174","-2.38194622355637","-3.4161835839396","-1.55263365721627","-2.68568543632757","-1.62322475240399","-1.16035297982057","-1.30155984922954","-6.46572194252761","-5.68883130718466","-0.534307544298831","1.20872265274491","1.05190436113766","1.05190436113766","0.141206869408968"
"-22.0","-15.776","-14.0655509490521","12.7703380112792","4.04955936422499","49.9689201411386","0.887837237993315","9.69598142781647","-2.21617987260041","-3.9183262067996","-1.49269399595024","-2.2915382914138","-2.45560274157056","-1.45110936430705","-1.87150689260788","-6.28529249867705","-5.20118032110612","-0.855136273901387","1.22406107129131","1.20965256876922","1.20965256876922","0.420397528300831"
"-21.5","-15.776","-13.540769368381","12.7951298962114","4.06599323459745","48.9239336781626","0.910859494995298","9.66080916544327","-3.05420998393258","-3.14290738333652","-1.43898821867353","-2.36424456383922","-2.76461867426018","-2.35306582480575","-2.57692523051366","-6.25595301662491","-5.23438219565975","-0.00870588782912604","1.23879333779353","2.20976321456292","2.20976321456292","0.223859405707913"
"-21.0","-15.776","-13.0167245249883","12.8191837047285","4.08466517066585","47.8295476265529","0.985677830575695","9.6176172293662","-3.1951065440829","-3.92997657779148","-1.3989341793227","-2.37448550369832","-2.71145317867674","-2.41486476954932","-2.72862140782875","-5.15217275351975","-4.28003751266426","-0.0816449750595854","1.25309912359729","2.12808888381106","2.12808888381106","0.313756638279427"
"-20.5","-15.776","-12.5061127768302","12.8297973293798","4.1059352608106","46.6738153785606","1.06765334904467","9.55997909394205","-5.21148627076055","-3.88599264423101","-1.35959440010096","-3.49224385391248","-2.80059592357769","-3.59699499473463","-3.13450180466855","-5.11988925661489","-5.26190250555844","-0.167039316915555","1.2665676268244","2.55287239806859","2.55287239806859","-0.46249319006608"
"-20.0","-15.776","-12.044423255412","12.7914645726886","4.13008352560847","45.549907777785","1.11963286696803","9.47605065599459","-3.2884256781686","-4.13152731011287","-1.31914610527455","-3.38120325724645","-4.15007724349238","-3.53227254071777","-3.02456214647305","-4.34231630216671","-4.86010207875529","-0.271279538560645","1.27845179582374","3.03994141959511","3.03994141959511","-0.507710394244725"
"-19.5","-15.776","-12.8593781450946","11.4743971717819","4.16946713427912","47.5291891340903","1.12277360342861","8.96092243761777","-3.70283844282832","-4.48398981867497","-1.37283882522222","-3.45776362867455","-3.72024861724863","-4.06504226806317","-4.02404414202039","-4.63607353791506","-4.85112096318701","-0.427413614917695","1.25998902335898","2.77701811736258","2.77701811736258","-0.0409981260427764"
"-23.0","-15.276","-14.6526985477775","13.1831551104536","3.9902439319213","50.6936820588107","1.03035482178006","9.7686656857041","-2.14631541525871","-3.03892384861652","-1.6989815737908","-2.19783638844004","-2.11795340795026","-1.24334597338818","-0.574061273886458","-7.34646601416046","-6.20744595186533","-0.21991491385789","1.2039029885238","1.63464699127931","1.63464699127931","-0.669284699501724"
"-22.5","-15.276","-14.1194776204828","13.2163894870764","4.01370580751365","49.7149212809113","0.960392929398533","9.74727720206038","-2.64052110178315","-3.12476001044113","-1.59472361075873","-2.3617671265545","-2.7600961357542","-1.13388864626947","-1.50403705631988","-7.26915560933611","-5.29574354378243","-0.370778629406419","1.21999942091807","1.84478587927241","1.84478587927241","0.370148410050418"
"-22.0","-15.276","-13.5911523762516","13.244725777173","4.03275095861088","48.6983621466557","0.908937539788696","9.72233805550556","-3.53214412064396","-3.84075706452186","-1.52065620514583","-2.00605866939112","-2.06393674038989","-1.7780690017619","-1.16089475005878","-6.00682598964473","-6.23867238326157","-0.574028209558546","1.23505980398329","1.15872283221751","1.15872283221751","-0.617174251703123"
"-21.5","-15.276","-13.0659053638213","13.2699827052337","4.04959496996477","47.6888232047129","0.920634767989871","9.6929142641593","-3.58229003572759","-3.01251217201922","-1.46069223419373","-2.40116061465585","-2.90037711511594","-2.62259412420661","-2.12040298422084","-5.48772883408121","-5.36033215743594","-0.953344362061441","1.24948403074349","1.32676311723783","1.32676311723783","-0.502191139985771"
"-21.0","-15.276","-12.5416401919347","13.2942580591771","4.06618202578067","46.6496113965093","0.993329030241918","9.65747285339519","-3.8089311308555","-3.73123693412072","-1.40602153377131","-3.24132780560192","-2.27817887801512","-2.42062169882828","-2.78353020794098","-5.41329581589727","-5.91915897407183","-0.0220778481114132","1.2633951738248","2.21122245304517","2.21122245304517","0.362908509112702"
"-20.5","-15.276","-12.0258103169282","13.3100927289432","4.08607514832193","45.4685764344401","1.05524266185977","9.60595940730362","-4.07237116540142","-3.98791597895144","-1.35929863627611","-3.35634053293478","-2.66365281680983","-2.959934305574","-2.89373464624798","-5.01339334939294","-6.06605399846864","-0.107893680358154","1.27648290470158","2.46362080083035","2.46362080083035","-0.0661996593260184"
"-20.0","-15.276","-11.509981235966","13.3259266042306","4.10596845562274","44.2875384094951","1.11715958040257","9.55444440263007","-4.33582045648728","-4.24459095593532","-1.31257673085681","-3.47133852233956","-3.04914704213178","-3.49923822934873","-3.00390789216147","-4.61350376214225","-6.21295980110666","-0.193723755871531","1.28957066787793","2.71601818867769","2.71601818867769","-0.49533033718726"
"-19.5","-15.276","-11.0560437930279","13.2798391972371","4.13022424130808","43.1306804342754","1.13297840854565","9.46703952570068","-4.11654212008099","-4.09721806022745","-1.27164845190034","-4.14100140909808","-3.79361366964561","-4.00630872032203","-5.55657537768171","-4.26441368141914","-5.1706638710109","-0.31159332489923","1.30071308757228","3.32081342767769","3.32081342767769","1.55026665735968"
"-19.0","-15.276","-12.0655220619309","11.7679069209478","4.17111940039058","45.5841255357409","1.13578286438942","8.88759002905026","-4.38380344367935","-4.6508096078546","-1.33634478101657","-4.07687767003331","-3.94206439866599","-4.6029465767003","-5.58581518371701","-4.54889124417494","-5.25262007854571","-0.4867259611801","1.27896074188124","3.20416393327949","3.20416393327949","0.98286860701671"
"-23.0","-14.776","-14.1904365602062","13.6454012722297","3.96409337467834","49.2382744164361","1.01898183859865","9.78642961490993","-3.69282971904803","-3.1787797589302","-1.82022429685154","-2.19716714102818","-2.08895732845992","-1.29534493576622","-3.04892000653766","-7.0868970594244","-8.12624543872903","-0.103783681720203","1.2142104197251","1.73340770203418","1.73340770203418","1.75357507077144"
"-22.5","-14.776","-13.6524328736037","13.6834209816491","3.99091555058036","48.3781435775763","0.996683505111946","9.76806162843198","-3.63725930065547","-3.40300224265895","-1.67430432669992","-2.43459473205256","-3.45562574947429","-1.09115983054158","-1.71864190071404","-8.21923225943024","-6.15975029000733","-0.230551671949159","1.23060538400618","2.16189901675961","2.16189901675961","0.627482070172459"
"-22.0","-14.776","-13.1213163172779","13.7145497936269","4.01202664712524","47.4393640260769","0.974857251325353","9.74524353375478","-3.8753210485232","-3.98022656800577","-1.58602684028865","-2.58684241797402","-2.11778607920238","-1.92043049283017","-1.31105803850212","-6.568458142043","-6.31934889041557","-0.406384021475247","1.24538723532032","1.52566663986355","1.52566663986355","-0.60937245432805"
"-21.5","-14.776","-12.5910754998816","13.7448025872563","4.03294539666813","46.4752174229121","0.967152535277328","9.72187206328753","-3.18601289006555","-6.1347986168229","-1.49675820093556","-3.2936619014134","-2.67095240272621","-2.15428437251929","-2.29836415126056","-6.31450899857504","-5.58182221793969","-0.598041807863582","1.25987160043375","1.97981656411032","1.97981656411032","0.144079778741265"
"-21.0","-14.776","-12.0676133769366","13.7682742700468","4.04897529524948","45.3897041328973","1.03293346044699","9.68527524592752","-3.73564200733343","-4.03084743709286","-1.4470604305052","-3.28687967186093","-2.627807939273","-2.57932043042682","-2.81321221368016","-6.320256020755","-6.09127166851456","-0.172118910779781","1.27302149202845","2.34783792646495","2.34783792646495","0.233891783253335"
"-20.5","-14.776","-11.5426202940045","13.793277158963","4.06673630744614","44.2440145107866","1.05691624131255","9.65174771102348","-3.89226231231569","-4.33446910861296","-1.38888905662369","-3.57196690871094","-2.77917697850474","-3.2188338270372","-3.28337437486105","-5.77172799876762","-6.11378665257114","-0.0935685868637846","1.28573648852308","2.61131388000432","2.61131388000432","0.0645405478238468"
"-20.0","-14.776","-11.0222098767805","13.8136948759781","4.08556362186375","43.080648123215","1.09986884262033","9.60922513648941","-4.10230485933366","-4.61461402752345","-1.33644324747585","-3.77199718418646","-3.04762559336623","-3.80823521840113","-3.57351596612905","-5.29752997583696","-6.19850606877344","-0.0972203862153976","1.29863789539769","2.86924974709905","2.86924974709905","-0.23471925227208"
"-19.5","-14.776","-10.5104944792668","13.8254115664931","4.10595560112843","41.8493613577436","1.1356895101751","9.55366805460597","-4.02634693397536","-4.94835413478023","-1.28464650249829","-4.52272400141197","-3.81784259551698","-4.97267179549919","-4.5181375777211","-6.9626949829011","-5.22578604827579","-0.209097856110256","1.31147532141786","3.53053125461223","3.53053125461223","-0.454534217778094"
"-19.0","-14.776","-10.0571001558635","13.7787824015967","4.13036001327916","40.6539920106884","1.14037090588797","9.466007293201","-4.31579161079222","-5.20991368676264","-1.29219702513156","-4.46677363371473","-4.07006512150004","-4.62248927279817","-4.09600010505331","-5.32531711559461","-5.88043033076763","-0.323188201171143","1.32205897794559","3.60035343061562","3.60035343061562","-0.526489167744859"
"-18.5","-14.776","-9.82812665273564","13.5076190872745","4.16037446895642","39.9878192692945","1.14203325036469","9.29528314506982","-5.41317660841306","-5.09973543869127","-1.42349727565041","-4.35280956149576","-4.58511292403797","-5.15835853881869","-5.4540179256139","-5.03916688809471","-7.38645846723024","-0.467112833759668","1.32790090781093","3.68502410149828","3.68502410149828","0.295659386795203"
"-23.0","-14.276","-13.7338076779211","14.1020119457582","3.93489961181133","47.7410742680315","1.01352579624421","9.80193232760676","-3.91493274281153","-4.60528693138165","-2.04435539542531","-3.4328137639173","-3.24713583570061","-1.69593728922952","-2.42542293885809","-7.03672238533772","-6.29556780240591","-1.85099711053527","1.22344424879934","1.17790657421992","1.17790657421992","0.729485649628566"
"-22.5","-14.276","-13.1896680693588","14.1461702851481","3.96522273216959","46.9999899968907","1.03464546553008","9.78642634152198","-3.63346040330841","-3.62105872281761","-1.78811872474403","-3.09159276496094","-2.51769381384308","-1.84818026965364","-1.20132838320495","-7.19099217318912","-6.14519118831233","-0.11397312685821","1.24042943378454","2.30089143579399","2.30089143579399","-0.646851886448688"
"-22.0","-14.276","-12.651488406656","14.1843656576068","3.99129493303463","46.1805171029212","1.04093876913989","9.76813517367998","-4.22040225043866","-4.099318365724","-1.65147712965163","-3.16206370629064","-2.17354102793465","-2.06367809253453","-1.46097439340336","-7.13339196879551","-6.40258084164722","-0.239735171617663","1.25571218907625","1.89070212857306","1.89070212857306","-0.602703699131172"
"-21.5","-14.276","-12.1185847563327","14.2172824766387","4.01400454892862","45.2755725606329","1.04857486867471","9.74660244171069","-3.50609089315249","-4.02694456180841","-1.54626074927038","-3.04749558055741","-2.82604378917079","-2.09873265950532","-2.37289335373228","-7.77521919299008","-6.24096575560712","-0.400565554964419","1.2699324826343","2.22113094515105","2.22113094515105","0.274160694226963"
"-21.0","-14.276","-11.5935916734006","14.2422853655549","4.03176556112527","44.1298829385222","1.07255764954027","9.71307490680665","-3.66271119813474","-4.33056623332851","-1.48808937538887","-3.33258281740742","-2.97741282840254","-2.7382460561157","-2.84305551491317","-7.2266911710027","-6.2634807396637","-0.322015231048423","1.28264747912892","2.48460689869043","2.48460689869043","0.104809458797475"
"-20.5","-14.276","-11.0685985904685","14.2672882544711","4.04952657332193","42.9841933164116","1.09654043040582","9.6795473719026","-3.819331503117","-4.63418790484862","-1.42991800150737","-3.61767005425743","-3.12878186763428","-3.37775945272608","-3.31321767609407","-6.67816314901531","-6.28599572372027","-0.243464907132427","1.29536247562355","2.74808285222981","2.74808285222981","-0.0645417766320131"
"-20.0","-14.276","-10.5436055075364","14.2922911433872","4.06728758551858","41.8385036943009","1.12052321127138","9.64601983699855","-3.97595180809926","-4.93780957636872","-1.37174662762586","-3.90275729110744","-3.28015090686602","-4.01727284933646","-3.78337983727496","-6.12963512702792","-6.30851070777685","-0.164914583216431","1.30807747211817","3.01155880576918","3.01155880576918","-0.233893012061501"
"-19.5","-14.276","-10.0186173783408","14.3172890765607","4.08505322054612","40.6924798300146","1.14446681122072","9.6124839142924","-4.13368379224378","-5.24120797939907","-1.31370459449494","-4.18756170233639","-3.4321542221479","-4.65541190817463","-4.25362184113105","-5.58130514109471","-6.33067711959356","-0.0865994661392999","1.32079055023775","3.27517356258734","3.27517356258734","-0.401790067043582"
"-19.0","-14.276","-9.51025308287664","14.3256541353259","4.10604978912967","39.3491612550619","1.15421795560173","9.55383685718839","-5.5713191625364","-5.29359823154079","-1.34647166813736","-4.52380026615659","-4.10806452630226","-4.54564548109712","-4.04301672624568","-5.08823985635814","-6.04242889905389","-0.120452207534257","1.33228807682228","3.84631696511309","3.84631696511309","-0.502628754851436"
"-18.5","-14.276","-9.05627740262082","14.2796064261775","4.13031419053605","38.0924103590263","1.1693419013252","9.46686446850656","-5.1205727498623","-5.09618868490911","-1.50275772702113","-5.16464835519698","-4.82327292655777","-5.05165737187616","-5.09990077382204","-5.30292419393622","-6.08239078646351","-0.0802062791338965","1.34236911627958","4.57971603812028","4.57971603812028","0.0482434019458826"
"-18.0","-14.276","-11.6613590153413","11.1504134525882","4.17445511495991","44.5911348248456","1.15933259836995","8.34530549138352","-5.25133162811375","-5.78249757996442","-1.26382192989885","-5.70845613495658","-5.4699572464621","-5.72532791354614","-5.60447664395735","-4.73999604132402","-5.72790220655338","-0.290416346914918","1.28632833525362","4.97922819822358","4.97922819822358","-0.120851269588791"
"-23.0","-13.776","-13.2888084996432","14.5469864280643","3.89670264738786","46.3557507181787","1.06153102497449","9.81433923831558","-3.4756839077126","-4.44868500350411","-1.53730288778608","-3.34058724332916","-2.85419838089795","-2.24195856245744","-1.95543566382","-7.56807857059892","-6.77032924972231","-1.03983796188883","1.23063461638141","1.67240945937007","1.67240945937007","-0.28652289863744"
"-22.5","-13.776","-12.7296138695241","14.6062065618799","3.93791354205499","45.6228930356446","1.08619806171495","9.8019962949507","-3.13506232640774","-4.18082249941362","-2.01519889829352","-3.24263082990158","-2.46165997401108","-2.74592634196282","-1.18948496980699","-7.05553644248615","-6.40774320131893","-2.02262656932391","1.24939072694133","0.37131589584698","0.37131589584698","-1.55644137215584"
"-22.0","-13.776","-12.1902738048553","14.6455629090476","3.9652105414116","44.9052913873602","1.13787931594453","9.78495104143514","-4.20437126823159","-4.48495033933374","-1.81352725687592","-3.1427454778756","-2.98147997938045","-2.24787451241738","-1.91356875575576","-7.07344262040913","-6.54863171525945","-0.894567676088306","1.26468062793733","1.69109475426713","1.69109475426713","-0.334305756661615"
"-21.5","-13.776","-11.6554852636718","14.6803647524043","3.98978523176329","44.0344489560771","1.1306798445427","9.76539360572424","-3.92987238154879","-4.52622935538514","-1.63595949855645","-3.27412245703114","-3.23676093861702","-2.57843980153111","-2.61774921946923","-7.62257092004449","-6.5204929342728","-0.580291809410552","1.27872209679298","2.34122450090266","2.34122450090266","0.0393094179381179"
"-21.0","-13.776","-11.1266767233137","14.7091842858057","4.01037976254408","42.989728649415","1.13965373318961","9.73707659646661","-4.08796496328483","-4.78085124996437","-1.51528170270745","-3.58861807230761","-3.29340984678289","-3.21263530812496","-3.09715702102541","-7.4031133400479","-6.56968777105745","-0.270668045006627","1.29181311483012","2.83479390138785","2.83479390138785","-0.115478287099556"
"-20.5","-13.776","-10.6016836403816","14.7341871747219","4.02814077474073","41.8440390273043","1.16363651405516","9.70354906156256","-4.24458526826709","-5.08447292148448","-1.45711032882594","-3.87370530915762","-3.44477888601463","-3.85214870473535","-3.5673191822063","-6.85458531806051","-6.59220275511403","-0.192117721090631","1.30452811132474","3.09826985492723","3.09826985492723","-0.284829522529044"
"-20.0","-13.776","-10.0766797540386","14.7592008744481","4.04590779206622","40.6978675689336","1.18755114787573","9.67003584132313","-4.40199031982308","-5.38792876103169","-1.39910646124309","-4.15810012463667","-3.59686591513951","-4.48959913968115","-4.03854971628675","-6.30642380625361","-6.61435234841621","-0.11394124329497","1.31724045131284","3.36165036134441","3.36165036134441","-0.451049423394402"
"-19.5","-13.776","-9.548296223864","14.7875965326793","4.06555340095976","39.4009627024031","1.19014726086278","9.64100069457648","-4.80488857190521","-5.6395071880011","-1.39350378754875","-4.22588394217233","-3.9735625732956","-4.48169083264775","-4.8440006104724","-5.8729181084925","-6.52219631906027","-0.152715490302299","1.32912175321737","3.59517203142735","3.59517203142735","0.362309777824647"
"-19.0","-13.776","-9.01982811134358","14.8160768667119","4.08519976917345","38.1038519414535","1.19268245838143","9.61205875374474","-5.20696770514681","-5.89039163783601","-1.38775122046492","-4.29497645440016","-4.34967748059258","-4.47537622750496","-5.64827951750917","-5.43914559635124","-6.42915730980055","-0.191395576343665","1.34100224241703","3.82867284012097","3.82867284012097","1.17290329000421"
"-18.5","-13.776","-8.51048481029199","14.8254225223129","4.10634539485497","36.5951337790974","1.24379990144194","9.55407199945247","-5.63575912446193","-5.6503188661637","-1.47321775365205","-6.60109903453878","-4.4378994580082","-5.62498189225856","-5.23423447154933","-5.54260307285966","-6.01464937046114","-0.0968375211615317","1.35159579783165","4.33773125646471","4.33773125646471","-0.390747420709226"
"-18.0","-13.776","-8.05696153112354","14.7789267835794","4.13060517590384","35.1244423775816","1.31363657838314","9.46542304932659","-6.41763873976642","-6.14231851779634","-1.3100757721694","-5.29057995983961","-4.4833687153326","-5.30807369631574","-5.4255080160472","-6.22797229970803","-6.28277842883633","-1.3543701766815","1.35998886073289","3.06534778380587","3.06534778380587","0.117434319731457"
