#Xi,#Rho,#Lumi,#Mass,#Temp,#G,#Gbp-Grp,#Rad,#O2S,#O2L,#H1S,#N2S,#N2L,#S2S,#S2L,#S3S,#S3L,#Halpha,#Hbeta,#HaNII,#HaSII,#SS
-21.00116911,-17.27635936,-14.66036466,11.17664011,4.159927953,51.94847609,1.084403037,9.373555607,-2.108406796,-3.385102784,-1.449649328,-2.022871099,-1.338376591,-2.264161666,-2.225337077,-4.926648298,-3.373044049,-0.192803339,1.212906393,1.063945668,1.750482331,-0.038824588
-19.99905249,-15.27635936,-11.50935431,13.32560604,4.106020819,44.28616775,1.117289341,9.554307409,-4.33648753,-4.244811414,-1.312471039,-3.471340355,-3.049878652,-3.500038134,-3.003707281,-4.61225434,-6.213248578,-0.193955764,1.289588953,2.716386354,2.689536112,-0.496330853
-18.50990576,-15.27635936,-13.06294808,10.27796871,4.211307467,48.0085815,1.138478923,8.317018101,-4.647624505,-5.195860568,-1.400226061,-4.010995384,-4.08518102,-5.188760227,-5.606424797,-4.830913643,-5.336299075,-0.658763377,1.257462574,3.086712715,4.389413588,0.417664569
-18.49829398,-14.77635936,-9.827902478,13.50613668,4.160498544,39.98691415,1.142019263,9.294576439,-5.417141538,-5.099359816,-1.423889106,-4.351835221,-4.586700236,-5.160270625,-5.458920232,-5.038009713,-7.392544977,-0.467882884,1.327910394,3.684667854,4.515501569,0.298649607
-18.49995155,-14.27635936,-9.056625623,14.27920974,4.130333768,38.09336511,1.169289835,9.466793502,-5.120158944,-5.095771484,-1.502793819,-5.163675884,-4.823619308,-5.051293691,-5.099906098,-5.302770657,-6.082441979,-0.08018998,1.342363455,4.579961237,4.6937001,0.048612407
-18.50074313,-13.77635936,-8.511641586,14.82500871,4.106326912,36.59752464,1.243745997,9.553943678,-5.635824367,-5.649945906,-1.473402291,-6.602059991,-4.436993813,-5.624702262,-5.233364114,-5.545002783,-6.016554143,-0.097507579,1.351583744,4.336526604,4.987831991,-0.391338148
-18.02636631,-14.77635936,-13.31089614,9.537968584,4.211894423,48.64380857,1.141977569,7.90579588,-6.062983893,-5.261853911,-1.887060024,-5.446116973,-4.058389198,-5.873868593,-5.249877473,-4.046433586,-5.012333735,-0.658169943,1.251832819,3.382788665,4.499096038,-0.62399112
-18.0005981,-13.77635936,-8.057492314,14.7789943,4.130591052,35.12512464,1.313645021,9.465457211,-6.417936637,-6.142305742,-1.310069896,-5.290475644,-4.481354476,-5.307064997,-5.424465782,-6.231361899,-6.284163725,-1.356547324,1.359987174,3.062151703,3.704233041,0.117400784
-20.99986496,-15.77635936,-13.01692444,12.81884875,4.084683498,47.83010002,0.985692519,9.617576919,-3.194703084,-3.930331903,-1.398918272,-2.373865021,-2.711750774,-2.414877814,-2.728623128,-5.151687696,-4.278601624,-0.081707487,1.253095586,2.128007349,2.161276278,0.313745314
-16.32667655,-10.77635936,-3.228288566,17.93445577,4.063408425,22.36706251,1.083590118,9.852754391,-5.562725203,-6.08639805,-1.281249265,-5.643591673,-5.209292713,-7.018725167,-6.097453221,-3.458920232,-4.328271912,-0.503485481,1.430526539,4.569760614,5.54479825,-0.921271947
-16.28164444,-10.27635936,-2.787031786,18.3305799,4.04524472,20.35644237,1.17875787,9.851044207,-6.768275617,-6.146362618,-1.125344267,-6.277695213,-5.659555885,-7.169732199,-6.13270933,-4.120502713,-4.968591536,-0.457797218,1.43792488,5.108017249,5.636757716,-1.037022869
-16.2743032,-9.776359362,-2.322348224,18.78787721,4.027227254,18.78377099,1.210788509,9.999934851,-6.81389162,-6.482408269,-1.141583122,-7.222573178,-6.090979146,-7.417936637,-6.908333042,-4.000347575,-5.39351115,-0.282579163,1.442244528,5.777452546,6.508710817,-0.509603595
-16.40399586,-9.276359362,-2.022218493,19.2176353,4.007021926,17.68879765,1.169357528,9.77455346,-6.719877104,-6.23143589,-1.258060922,-6.267686673,-5.198527686,-7.036448266,-6.608711951,-5.217527376,-5.31452698,-0.126505018,1.446024285,5.036481354,6.34438559,-0.427736315
-16.64450589,-8.776359362,-1.807556307,19.67277706,3.98373,16.98216725,1.071288798,9.999934851,-7.187086643,-6.268250116,-1.192735645,-6.091568601,-5.147093241,-6.755475488,-6.1786175,-4.233884717,-5.948076084,-1.325138859,1.448428035,3.775210232,4.751409871,-0.576857988
-18.77163536,-9.276359362,-4.580572671,19.02680798,3.910784435,23.80750028,1.234479126,9.999934851,-6.842241114,-7.476904162,-1.050902875,-6.057991947,-5.8467951,-6.134540677,-6.133712661,-5.043015632,-6.860750782,-0.069356559,1.417455085,5.569293417,5.763739917,-0.000828016
-16.98927556,-12.77635936,-5.825996052,15.9994897,4.130719637,31.54520966,1.12724483,9.76316584,-6.547600154,-6.917933066,-1.475993554,-5.343997679,-5.548367053,-7.536256279,-7.757458572,-2.100015437,-3.487983031,0.067814511,1.382269257,5.201054728,7.399708273,0.221202293
-15.47776685,-11.27635936,-4.073871044,16.23976282,4.127784876,27.65971889,0.544261597,9.315025199,-9.242603971,-9.469032318,-1.005199101,-10.30715308,-8.106127321,-10.3472703,-10.56767221,-5.279757982,-7.220403509,-0.64244628,1.413735517,7.460955861,9.500160909,0.220401904
-15.45207669,-10.77635936,-2.841493473,17.44663348,4.099335278,23.44035947,0.693698106,9.555880065,-8.165897344,-9.886056648,-1.087618501,-8.021636853,-7.33761998,-10.3283644,-9.861697302,-4.699839463,-5.071245798,-0.617982957,1.437655451,6.63792756,9.116138383,-0.466667102
-15.39800578,-10.27635936,-2.033912407,18.20021087,4.074706756,20.69345597,0.798430392,9.681195996,-7.594995335,-8.12947905,-1.146971385,-7.128135298,-7.846490011,-9.127144755,-9.025718641,-4.124302238,-5.09560908,-1.732828272,1.447886415,5.319297074,7.039619225,-0.101426114
-15.25933465,-9.776359362,-1.238024244,18.85746068,4.053040009,18.0419664,0.836332585,9.75743399,-6.064946411,-6.22475374,-0.638083381,-6.333294864,-5.043111545,-8.526805091,-8.140801638,-3.380280734,-4.232398932,-1.653647026,1.434233474,3.367752523,6.337582525,-0.386003452
-15.28012487,-9.276359362,-0.634952501,19.48121518,4.032940938,15.69795761,0.747744638,9.830428264,-7.003838707,-7.569924944,-2.246416941,-7.42159003,-6.756465898,-7.27580608,-7.333950262,-4.842543232,-5.443938841,-1.301116863,1.461348434,5.370340449,5.701758981,0.058144181
-15.61345455,-8.776359362,-0.516913556,19.9325084,4.013805927,15.11220668,0.684563343,9.869788902,-6.685290307,-7.443697499,-1.907279355,-6.336770365,-6.696803943,-7.371202514,-6.042057665,-4.171855893,-5.455559863,-1.549750892,1.458290274,4.62971926,4.4724158,-1.32914485
-14.97558479,-10.77635936,-5.187603418,14.62164846,4.124504225,30.41522763,0.53189659,8.599337133,-10.03461013,-10.07027462,-1.327809749,-10.06333549,-9.497163361,-11.45942028,-11.2644011,-6.721932669,-7.090497459,-1.176525771,1.393943539,8.216308832,9.873499051,-0.195019183
-14.95753478,-10.27635936,-3.838293005,15.9542653,4.093911741,26.32025108,0.646127238,8.946697837,-10.63827216,-10.9788107,-1.48399377,-9.875821945,-9.468521083,-11.08470572,-11.20453711,-6.156455788,-6.530177984,-1.989276135,1.415023456,7.335770917,8.850195312,0.119831389
-14.90124039,-9.776359362,-2.469504903,17.2673037,4.068853494,22.08667593,0.780118954,9.240174695,-8.371917739,-8.529442515,-0.565750548,-8.00160987,-7.749579998,-10.04005278,-9.471340355,-5.224680878,-6.226798858,-1.099960765,1.423098353,6.456572842,8.267592067,-0.56871243
-14.76050955,-9.276359362,-1.215281228,18.38111684,4.046651217,18.22757896,0.787797014,9.452476461,-7.538801711,-8.056505484,-0.467882884,-8.580044252,-8.59345982,-9.606775884,-9.086610056,-5.109914473,-5.489991487,-1.512578789,1.432022748,6.773091452,7.459460352,-0.520165827
-15.10957316,-8.776359362,0.161790569,20.10736736,4.026288062,14.13342125,0.608783334,9.778982851,-6.092749917,-7.069611382,-1.248951965,-6.167874457,-6.047062332,-7.18428946,-6.135192371,-5.53313238,-6.381219975,-0.127377621,1.463803434,5.674873311,5.970663028,-1.049097089
-14.5445382,-10.27635936,-7.803773729,11.54797903,4.117403884,37.34338049,0.620679417,7.45484486,-11.20481541,-12.87942607,-1.266963317,-10.07007044,-10.34065436,-11.02104383,-10.92190585,-7.744004273,-8.202871012,-0.049051286,1.34177075,9.834540234,10.61857086,-0.099137985
-14.47968172,-9.776359362,-4.786294482,14.52558271,4.087852375,29.17587305,0.430374655,8.333447274,-11.08729979,-11.02081597,-1.946921557,-11.03385827,-10.65639449,-12.13691517,-12.15552282,-7.066765871,-8.099141495,-1.431563586,1.384550532,9.072753347,10.41352577,0.01860765
-14.4025344,-9.276359362,-2.631397599,16.60589115,4.063408425,22.62925117,0.669566595,8.8509524,-11.02470608,-11.30847648,-1.112945622,-11.04973253,-10.83209219,-12.4832003,-14.23657201,-7.486382926,-8.388914267,-1.309095446,1.431749632,9.317293826,11.16650843,1.753371711
-14.31658455,-8.776359362,-0.6712699,18.48130211,4.041155733,16.98254674,0.773906744,9.317958925,-12.19273564,-12.29183414,-0.523458191,-12.00638744,-11.11667932,-13.4225082,-13.95039439,-8.558776326,-9.07227044,-1.000130308,1.454539985,10.06388909,12.30958499,0.527886187
-14.01873738,-9.276359362,-6.189076956,12.64007463,4.082893033,32.44932204,0.47892647,7.511883361,-9.264321274,-10.07722266,-0.497436331,-9.252510508,-9.22475374,-11.11373494,-10.00824246,-7.506820879,-7.945386945,-1.506123889,1.35932313,7.431256527,8.46932477,-1.105492481
-13.8935032,-8.776359362,-3.166772214,15.55896715,4.058615797,23.95479072,0.753902852,8.2955671,-11.43997375,-12.80799041,-0.289967301,-11.56655021,-11.12633071,-13.28971335,-13.71219827,-9.29030613,-9.724458312,-1.103473783,1.412897142,9.888394655,12.04698397,0.422484918
-13.74851541,-8.276359362,-2.714280641,15.86589811,4.036748629,21.94337887,0.758890925,8.218797998,-10.83475567,-10.72101788,-0.191789027,-10.17992997,-10.07391491,-11.86902331,-11.25026368,-6.495257364,-7.102153068,-1.210630846,1.413634997,8.612034698,9.946011775,-0.618759624
-13.52187889,-8.776359362,-5.640456557,12.67632667,4.078927834,30.72087723,0.665597354,7.290034611,-9.537751785,-10.05794232,-1.015877917,-9.605373236,-9.167938385,-11.09393446,-11.2275316,-7.596022036,-8.026548856,-2.449771647,1.376814112,6.582961261,8.404814388,0.133597142
-15.98427111,-11.77635936,-4.02458945,16.79590802,4.129850951,27.65983624,0.770270011,9.7168794,-8.439256699,-10.22548303,-1.185086819,-8.388914267,-9.001304842,-10.19935164,-10.7070797,-4.008552402,-5.308476478,-0.110866444,1.415123655,8.183184361,9.97099833,0.507728056
-15.96797962,-11.27635936,-3.313580047,17.49058048,4.103461622,24.83125757,0.739514531,9.811139152,-7.272865576,-7.147581007,-1.1640559,-7.555642874,-6.837137007,-8.448184178,-9.164309429,-5.294992041,-5.154096161,-0.292685366,1.431910309,6.468465953,8.079130126,0.716125251
-15.93497806,-10.77635936,-2.667596613,18.10358273,4.080446095,22.67185334,0.85953728,9.89743464,-6.067881528,-6.338944915,-1.960189446,-6.252821329,-5.463694128,-8.756713854,-7.765229705,-3.075513956,-4.013496985,-0.663940722,1.434329337,4.734357727,7.059115192,-0.991484149
-15.84169376,-10.27635936,-2.069392789,18.60849572,4.059033005,20.30930653,0.965367579,9.999934851,-5.047159143,-5.43687504,-1.246187216,-5.665345233,-4.374687549,-6.654822383,-6.117589316,-2.067424777,-3.891434976,-0.20999648,1.426006731,4.143002193,5.79692016,-0.537233068
-18.59946702,-7.776359362,-3.070885687,20.36428452,3.773413406,19.74703198,1.22846459,9.999934851,-7.436637591,-7.767766479,-1.123493496,-6.311847244,-6.478600372,-6.120674699,-5.516555352,-5.960982678,-6.021773818,-0.136855654,1.429994384,5.94938346,5.283200776,-0.604119347
-18.20263466,-8.776359362,-3.512407219,19.52597137,3.908195393,21.14916973,1.239956175,9.999934851,-6.036117771,-7.560193789,-1.007137329,-6.806875402,-5.284080183,-6.148802824,-6.383944805,-5.146545159,-5.342657263,-0.420330706,1.425403782,4.850909818,5.529289537,0.235141981
-18.25477494,-8.276359362,-3.108204443,19.98230301,3.872167932,20.02643053,1.210515857,9.999934851,-6.514278574,-7.022459294,-2.68613278,-6.059832286,-5.850472986,-6.39051231,-6.13864484,-5.106682188,-6.705754284,-0.408601449,1.429945974,5.233025821,5.536938714,-0.25186747
-15.74977577,-9.776359362,-1.613172812,18.972681,4.039889798,17.82021773,1.072333636,9.999934851,-5.5172693,-6.029560137,-1.258060922,-5.536853863,-5.094635931,-8.290730039,-6.225045311,-3.69572495,-4.086292086,-0.392330563,1.444169755,4.568374319,5.828997345,-2.065684728
