"#Zeta","#Rho","#Lumi","#Mass","#Temp","#G","#Gbp-Grp","#Rad","#O2S","#O2L","#H1S","#N2S","#N2L","#S2S","#S2L","#S3S","#S3L","#Halpha","#Hbeta","HaNII","HaSII","SS"
"-24.5","-14.776","-17.1266743187982","9.22623837651408","4.03288713626235","57.8387389995356","0.960591204125086","8.22661438374504","-3.16720170834223","-5.04614031024912","-1.60102918903539","-3.53220487321279","-2.82393635480715","-2.03643446792821","-4.01650761283796","-4.7406678919555","-4.12318295248303","-0.472538028144396","1.13577824822944","2.27371662739305","2.27371662739305","1.98007314490975"
"-24.0","-14.776","-16.6014598541962","9.25073436695492","4.0511579498102","56.6755255862612","1.00589199529458","8.18841139561196","-3.55096362920304","-4.95481976996236","-1.54307665133342","-3.70034549253188","-3.01973596273712","-2.6219728388113","-4.48343999153389","-4.35248231633863","-4.12102743827597","-0.392562077426763","1.15270347655537","2.54442398405055","2.54442398405055","1.86146715272259"
"-23.5","-14.776","-16.0762490011177","9.27522648724164","4.0694294790074","55.5121224767656","1.0512032376189","8.15019100689666","-3.93461442095685","-4.86344777373964","-1.48516410699282","-3.86858850824391","-3.21554059115052","-3.2073709112089","-4.95052196171707","-3.96485803103079","-4.11939923192289","-0.312065602718341","1.16962836087908","2.81570967277386","2.81570967277386","1.74315105050817"
"-23.0","-14.776","-15.5510381480391","9.29971860752836","4.0877010082046","54.3487193672699","1.09651447994322","8.11197061818135","-4.31826521271066","-4.77207577751691","-1.42725156265223","-4.03683152395593","-3.41134521956392","-3.79276898360651","-5.41760393190025","-3.57723374572296","-4.11777102556982","-0.23156912800992","1.18655324520278","3.08699536149718","3.08699536149718","1.62483494829374"
"-22.5","-14.776","-15.0258247186742","9.32421301392662","4.10597166408412","53.1851828205863","1.14177541327851","8.07375084195357","-4.70112714338763","-4.68163610688665","-1.3693662815727","-4.20544356700857","-3.60697095533284","-4.37801143144079","-5.88471582686533","-3.19047606035341","-4.11651745628526","-0.150606891891866","1.20347657031297","3.35873232129446","3.35873232129446","1.50670439542454"
"-22.0","-14.776","-14.5446960177714","9.30564949960198","4.13031634311645","51.9334959788276","1.14697778535427","7.99786962446987","-4.18975154035124","-5.63507068833782","-1.3702098570367","-4.25341958453077","-4.31047580662813","-4.47082769153275","-5.54367846615027","-3.33975709610161","-4.41720190048486","-0.25574461625052","1.2176770615848","3.72419002737421","3.72419002737421","1.07285077461752"
"-21.5","-14.776","-14.2033277561707","9.14953089766577","4.16059696781646","51.0172079330032","1.14734291304006","7.86637232089285","-5.68643329818646","-5.97237446494529","-1.46302304918349","-4.25694194425151","-4.23586708171162","-6.62510842473745","-6.00340129692488","-3.82757232852072","-4.20336461115815","-0.389388036299119","1.22784637499793","3.55583200887558","3.55583200887558","-0.621707127812577"
"-25.5","-14.276","-17.7286205056592","9.6250143650068","3.96574438644294","58.3550986958286","1.0341509653529","8.28443808614325","-3.65111570663545","-3.62269748675711","-1.94773244898587","-3.19251135393387","-2.59806277721064","-1.91254559315248","-1.23402168832042","-6.43361289323137","-5.65799072043983","-0.0762877327587024","1.10991980030242","2.42301473138691","2.42301473138691","-0.678523904832054"
"-25.0","-14.276","-17.1899318751222","9.66355960902277","3.99120359704114","57.5357481857593","1.04022952693788","8.26600792329541","-4.14417528118679","-4.07391297893271","-1.73741361612419","-3.23482797560205","-2.1906635465873","-2.07788695951116","-1.46483781588253","-5.58212793842778","-4.61110519123035","-0.201619454613094","1.13043816788687","1.95144253162733","1.95144253162733","-0.613049143628631"
"-24.5","-14.276","-16.6559701761812","9.69698012441671","4.01404210936403","56.6302259888192","1.04734378228007","8.24675684993476","-3.47535660005256","-5.57748430656138","-1.61532699068927","-3.06772906602333","-2.8624501569099","-2.08291556587339","-2.31898455688967","-5.7680465321051","-5.29404756848494","-0.347471360692411","1.14932057993116","2.30425819939755","2.30425819939755","0.236068991016283"
"-24.0","-14.276","-16.1267598956573","9.72578423499608","4.03328802920115","55.6484416514893","1.08301864428818","8.22142847057022","-4.24149864036198","-4.64940974121722","-1.52146476399854","-3.2888121993823","-3.38120260352811","-2.69717197540139","-2.1314766049176","-4.14279505804768","-4.2917064563632","-0.544907638229585","1.1669121093713","2.48617134743277","2.48617134743277","-0.565695370483793"
"-23.5","-14.276","-15.6005187053143","9.75135444120793","4.04959375102076","54.5673880319957","1.12337900445009","8.19453179510876","-4.39656847570959","-5.46737959201514","-1.44383026727017","-3.26153892334612","-3.24705861834861","-3.44868802341281","-3.04488835326201","-4.21220898711043","-4.55697837819238","-0.910579234403609","1.1836486161637","2.0423339712668","2.0423339712668","-0.403799670150799"
"-23.0","-14.276","-15.0738744783314","9.77724621489872","4.06657591638094","53.3620248777516","1.1389947752897","8.15988077552567","-4.61081854331438","-4.6505089328911","-1.38640827534696","-4.04973693261007","-3.20682467802636","-3.38208810905826","-3.67735036504761","-4.46783428003187","-4.02286980036595","-0.0195206698382125","1.19976349375509","3.12901534966252","3.12901534966252","0.295262255989353"
