"#Xi","#Mass","#Temp","#Rad","#Lumi","#HaNII","#G","#Gbp-Grp"
"-24.0","9.25073436695492","4.0511579498102","8.18841139561196","-16.6014598541962","2.54442398405055","56.6755255862612","1.00589199529458"
"-23.5","9.27522648724164","4.0694294790074","8.15019100689666","-16.0762490011177","2.81570967277386","55.5121224767656","1.0512032376189"
"-23.0","9.29971860752836","4.0877010082046","8.11197061818135","-15.5510381480391","3.08699536149718","54.3487193672699","1.09651447994322"
"-25.5","10.074492440414","3.93241854129089","8.29678881083662","-17.2709017115737","2.86365342094501","56.7312553944086","1.05616918634566"
"-25.0","10.1189772789119","3.96197924642171","8.28021725797036","-16.730407790976","2.83229121401353","56.0819142552253","1.10447633872121"
"-24.0","10.1943518689615","4.01231694876736","8.24123160207361","-15.6588175374152","2.78846884231274","54.4243005491994","1.1588658238887"
"-23.0","10.2506636802233","4.05040165031955","8.18443181044122","-14.6013347636135","3.15966250663693","52.1383727358278","1.16134540524139"
"-22.5","10.2760866792831","4.06771457367899","8.15003598162874","-14.0749561640061","3.54364409621412","50.8603827919564","1.15779336057787"
"-25.0","10.5690371235442","3.93026548656865","8.29362508513448","-16.2678290753248","3.35942869977182","54.3618161112637","1.09989249022482"
"-24.5","10.6135219620422","3.95982619169947","8.27705353226822","-15.7273351547271","3.32806649284034","53.7124749720805","1.14819964260037"
"-24.0","10.6571536532205","3.99090112623195","8.2615018874549","-15.1965137529794","3.42114376698276","52.7668905743221","1.19700267310186"
"-23.5","10.6880342468449","4.01167072208066","8.23908285221671","-14.6654172224167","3.40860775001121","51.7585729520401","1.20305430153869"
"-23.0","10.7202749411138","4.0316614394015","8.21656811654701","-14.1328559848779","3.40875417839221","50.7989991188171","1.18872290892098"
"-22.5","10.749819773113","4.04981617890885","8.18915183216194","-13.6025996408169","3.6781605164298","49.7083237183702","1.17133949826654"
"-24.5","11.0635818066745","3.92811243184641","8.29046135943235","-15.2647564390758","3.85520397859863","51.9923768281189","1.14361579410398"
"-24.0","11.1091587275608","3.95959168397222","8.27517340496216","-14.7288416019476","3.89470552201639","51.2111233389966","1.19716216180579"
"-23.5","11.1508360311038","3.99025489954526","8.259353137598","-14.2031134379809","4.04128267468123","50.1011629771627","1.24119115075185"
"-23.0","11.1821695569411","4.01076511813641","8.23690223280046","-13.6715291398588","4.03297008636636","49.1090777067517","1.24045495295814"
"-22.5","11.2153180716447","4.03023596080933","8.21432362038187","-13.1379902607542","4.04158161113449","48.1820386774398","1.21251859433496"
"-24.5","11.5136416513068","3.89639867199335","8.30386918659647","-14.8021777234246","4.38234146435692","50.2722786841573","1.13903194560759"
"-24.0","11.5581264898048","3.92595937712417","8.28729763373021","-14.2616838028269","4.35097925742545","49.622937544974","1.18733909798314"
"-23.5","11.606436563232","3.96224017320875","8.27522213855359","-13.737229029292","4.56783137566625","48.5115472655653","1.25399764003579"
"-23.0","11.6445184089872","3.98960867285856","8.2572043877411","-13.2097131229824","4.6614215823797","47.4354353800034","1.28537962840183"
"-22.5","11.677212687472","4.00933963954424","8.23465773663532","-12.6766634157352","4.66579751910864","46.4921172653744","1.26425063837212"
"-22.0","11.7071578016202","4.02791637774217","8.20797621752244","-12.1461796974982","3.84749121477063","45.3579347461497","1.25700433329537"
"-21.5","11.7355098159765","4.04744603763904","8.198744109621","-11.6187903970724","2.98541860241145","43.8979941494222","1.22893379732073"
"-21.0","11.763591577152","4.06721277272044","8.17992124365105","-11.0913623340731","4.38925059804343","42.3299221441431","1.22271429427253"
"-20.5","11.8572417438752","4.0850101550716","8.246569782084","-10.4768223114981","5.52160542158357","40.2985422714996","1.1364146299697"
"-24.0","12.0081863344371","3.89424561727111","8.30070546089433","-13.7991050871756","4.87811674318374","47.9028394010124","1.18275524948675"
"-23.5","12.0548565163398","3.92764548698042","8.28670249014158","-13.2677742754847","4.98855851653071","46.9895311957755","1.24154648692889"
"-23.0","12.1037143989032","3.96488866244529","8.27527087214502","-12.7456164566363","5.24095722931611","45.8119711921341","1.31083311826579"
"-22.5","12.1391073032993","3.98844331827915","8.25499185288877","-12.2153365707161","5.29001342708279","44.802195853309","1.31598268240928"
"-22.0","12.1682564433376","4.00749717990829","8.23704277571958","-11.6864000778459","4.45010456136361","43.5050915401474","1.29830936996784"
"-21.5","12.1990066788814","4.02839349092817","8.24060623089565","-11.1575093587881","4.39044315175612","42.0890973444404","1.23922591996732"
"-21.0","12.2297569144251","4.04928980194805","8.24416968607172","-10.6286186397303","4.33078174214864","40.6731031487335","1.1801424699668"
"-20.5","12.3006566433855","4.06736744765786","8.27486239841584","-10.0436102136326","6.04124797661584","38.7455279315726","1.13815545972886"
"-23.5","12.5032764694476","3.8930508007521","8.29818284172956","-12.7983195216775","5.40928565739517","45.4675151259858","1.229095333822"
"-23.0","12.552134352011","3.93029397621696","8.28675122373301","-12.2761617028291","5.66168437018058","44.2899551223443","1.29838196515889"
"-22.0","12.6317533062424","3.98844463319742","8.27890489699422","-11.2251190395616","5.85512911070829","41.6961947351656","1.30860149261442"
"-21.5","12.6625035417862","4.00934094421731","8.28246835217029","-10.6962283205038","5.7954677011008","40.2802005394587","1.24951804261391"
"-21.0","12.6932537773299","4.03023725523719","8.28603180734637","-10.167337601446","5.73580629149332","38.8642063437518","1.19043459261339"
"-20.5","12.7440715428958","4.04972474024411","8.30315501474769","-9.61039811576707","6.5608905316481","37.1925135916456","1.13989628948801"
"-23.5","12.9527908621997","3.86037880269581","8.31094956235632","-12.3334537352754","5.90102950776884","43.813301973906","1.22189470486952"
"-23.0","13.0005543051187","3.89569928998863","8.29823157532099","-11.8067069490218","6.08241151104504","42.7679390525546","1.285930812052"
"-22.0","13.0880819161949","3.9640346710811","8.29956194187789","-10.765829817755","6.75107123313609","39.736641306409","1.32059998462324"
"-21.5","13.1212154096819","3.98671030954646","8.31018886459264","-10.2362710158979","6.86081432880479","38.3709706584289","1.26092383969754"
"-21.0","13.1543489031689","4.00938594801182","8.3208157873074","-9.70671221404077","6.97055742447349","37.0053000104488","1.20124769477184"
"-23.0","13.4489742582265","3.86110460376031","8.30971192690897","-11.3372521952146","6.5031386519095","41.2459229827648","1.27347965894511"
"-22.5","13.4927342422655","3.89526816301989","8.3103806913408","-10.8168103509404","6.83738777608576","39.7303280254797","1.29078656058365"
"-22.0","13.5258677357525","3.91794380148525","8.32100761405556","-10.2872515490833","6.94713087175446","38.3646573774996","1.23111041565795"
"-21.5","13.5638143435739","3.94481457360044","8.33469153373033","-9.76576888345227","6.99984768392485","37.046918325023","1.19412874487708"
"-21.0","13.6065395966307","3.97585043593263","8.35141055769362","-9.25230451683008","6.99594660609784","35.7767676061205","1.17967902185534"
"-20.0","13.6985309052735","4.02966525151843","8.38580058156771","-8.13777838415069","7.0493598046646","33.1222775262779","1.16867551890777"
"-22.5","13.9401290559424","3.85755253900728","8.33792941110276","-10.3543554361123","6.91959904445797","38.4540356566125","1.24660467671517"
"-22.0","13.9828543089991","3.88858840133948","8.35464843506605","-9.84089106949009","6.91569796663096","37.1838849377101","1.23215495369343"
"-21.5","14.0255795620559","3.91962426367167","8.37136745902934","-9.32742670286791","6.91179688880395","35.9137342188076","1.21770523067169"
"-21.0","14.0683048151126","3.95066012600386","8.38808648299263","-8.81396233624572","6.90789581097694","34.6435834999052","1.20325550764995"
"-20.5","14.1110300681694","3.98169598833606","8.40480550695592","-8.30049796962354","6.90399473314993","33.3734327810028","1.18880578462821"
"-20.0","14.1581153337842","4.00722790415518","8.42215910550965","-7.72864233375212","6.94089900175496","32.0271654218183","1.18628526085806"
"-22.5","14.3934533392794","3.82221483432576","8.37514786118237","-9.91853389786075","6.84554749128938","37.2298086987056","1.27738486476573"
"-22.0","14.4403945147869","3.8583189300492","8.39159591488427","-9.40381056734192","6.83465433054417","36.0051303825451","1.25933716953498"
"-21.5","14.4873356902944","3.89442302577265","8.40804396858617","-8.8890872368231","6.82376116979896","34.7804520663845","1.24128947430423"
"-21.0","14.5300700335946","3.9254698160751","8.42476240829165","-8.37562015566136","6.81984501585603","33.5103993936899","1.22683199344455"
"-20.5","14.5727952866513","3.95650567840729","8.44148143225494","-7.86215578903917","6.81594393802903","32.2402486747874","1.21238227042281"
"-20.0","14.617699762295","3.98479055679193","8.4585176294516","-7.31950628335355","6.83243819884533","30.9320533173588","1.20389500280836"
"-22.0","14.8895119659166","3.81792391994667","8.42908475096747","-8.96924527844747","6.76757978417787","34.735529068104","1.29370757195661"
"-21.5","14.9364531414241","3.85402801567012","8.44553280466936","-8.45452194792865","6.75668662343266","33.5108507519435","1.27565987672586"
"-21.0","14.9833943169316","3.89013211139357","8.46198085837126","-7.93979861740982","6.74579346268745","32.2861724357829","1.25761218149511"
"-20.5","15.0303354924391","3.92623620711702","8.47842891207316","-7.425075286891","6.73490030194224","31.0614941196224","1.23956448626436"
"-21.5","15.3855705925537","3.81363300556759","8.48302164075256","-8.01995665903419","6.68961207706636","32.2412494375024","1.31003027914749"
"-21.0","15.4325117680612","3.84973710129104","8.49946969445446","-7.50523332851537","6.67871891632115","31.0165711213419","1.29198258391674"
"-20.5","15.4843796983429","3.88997766490082","8.49429430727199","-7.00726316942015","6.87748709816167","29.8544846319203","1.26136538538717"
"-21.0","15.8904651062497","3.81647011717744","8.51698190688062","-7.08703097197477","6.80990340797893","29.821331833216","1.29709025160749"
"-20.5","15.9462337353926","3.85969578331347","8.51344989384481","-6.58867133586922","6.99729284712328","28.6709899296852","1.2498157958266"
"-20.0","15.9977479923097","3.89761819284419","8.50974193886536","-6.05144985304612","6.73408491581233","27.4298384600176","1.20950415596087"
