"#Xi","#Rho","#Lumi","#Mass","#Temp","#G","#Gbp-Grp","#Rad","#O2S","#O2L","#H1S","#N2S","#N2L","#S2S","#S2L","#S3S","#S3L","#Halpha","#Hbeta","#HaNII","#HaSII","#SS"
"-22.03188773741305","-13.276359361583042","-13.075978677077266","10.775405587225148","4.066661302300677","48.45416576199838","1.1645402638980755","8.156851901070011","-5.8683813356508745","-5.727462222624762","-1.7559704109699783","-5.204119982655925","-4.2656002574794325","-4.478861916295964","-5.847711655616943","-4.106349183014037","-5.0655015487564325","-0.008640997362049757","1.2519300850303683","4.209603627985482","4.452031939098576","1.3688497393209798"
"-22.529917976990795","-14.776359361583042","-15.02616921485706","9.323868522465586","4.105986795521472","53.185995153658425","1.1417738320356676","8.073718350346123","-4.701583619938705","-4.680269505669775","-1.3693687559795","-4.205511953340831","-3.6071272545979207","-4.377993326993195","-5.886056647693163","-3.189431470783587","-4.115827930476088","-0.15064201833870106","1.2034680518626462","3.35883767229795","4.214075343663087","1.5080633206999678"
"-22.530152765391243","-14.276359361583042","-14.54685228295009","9.80317888462613","4.084933574936716","52.05575042176211","1.1439739042098935","8.118925752825776","-4.066462098028295","-6.581698708680254","-1.3659259745125316","-4.110362199593332","-3.3896592885478434","-4.403183064084409","-4.020497151212599","-4.642827742276967","-5.075204004202088","-0.10176861548690322","1.2153202513299302","3.2122568906328715","3.7681872422254923","-0.38268591287181075"
"-23.031564175763553","-14.276359361583042","-15.074214811045772","9.776905347481579","4.066586796470695","53.362925384838384","1.1389725532029118","8.159867847092567","-4.611543547299734","-4.648396927580871","-1.3863695650747594","-4.049148541111453","-3.2065588670223364","-3.3815335078009197","-3.6773672883077766","-4.4680104485874494","-4.021956506090037","-0.019042683770379865","1.1997551772534747","3.129209897096356","3.1846605761778286","0.295833780506857"
"-21.535636910345307","-14.776359361583042","-14.203790652142553","9.149070479568902","4.160618572399474","51.018326586904735","1.1473398364862177","7.866287339084195","-5.686343653381969","-5.9730583720409705","-1.462936857218383","-4.256411849840096","-4.235599677043612","-6.6252516539898965","-6.0034883278458215","-3.82739706879014","-4.202455485638274","-0.3894462946829054","1.2278353057755873","3.5554048154277007","5.52100182243064","-0.6217633261440747"
"-21.529913234295588","-14.276359361583042","-13.559737428775803","9.78967609602639","4.130558899864014","49.46188044144159","1.1516204190300172","7.984527313343793","-5.811071516239147","-5.021499930688541","-1.5828605902726745","-4.993962045002683","-4.6076548446387955","-6.425968732272281","-5.8823973083099155","-4.071245797823346","-5.467372998771109","-0.30838812578558356","1.2432365379410764","4.149783107433104","5.464754303925693","-0.5435714239623655"
"-21.529392048695925","-13.776359361583042","-13.035191541821751","10.314149812968424","4.106122874006654","48.21447395782684","1.160442220167596","8.058805486675906","-5.859177819890689","-5.724688645458189","-1.8513973451939065","-5.3706923599262515","-4.723538195826756","-6.019088062223156","-5.5785606097799505","-4.742801573860656","-5.251501873386263","-0.18588564387087458","1.2551035799561023","4.449394553399207","5.258294673067934","-0.4405274524432062"
"-21.53089581539672","-13.276359361583042","-12.550283043662573","10.800413173587279","4.084933574936716","47.023658371017774","1.1782089352731475","8.1156105116743","-5.106293706935286","-6.1233780839657275","-3.2006594505464183","-5.225556031075035","-4.450383760480914","-6.200659450546418","-5.718966632752273","-4.546987608878545","-5.081340706578176","-0.0019151120634443696","1.26585511354737","4.381095037147229","5.593251171316617","-0.4816928177941458"
"-21.029468597080218","-13.776359361583042","-12.56975166623906","10.279086887897508","4.13046242928158","46.943148193703244","1.1676105850548097","7.975431808509263","-5.200108315343135","-6.753501419204199","-1.021728158389365","-5.3326404538169125","-5.669586226650809","-5.620875853929608","-5.09555495892309","-4.637329070274333","-6.324221658325915","-0.19260028724051473","1.2673360249636418","4.975593904085095","4.789573674729061","-0.5253208950065179"
"-21.03026546639998","-13.276359361583042","-12.036055019739097","10.814142853942135","4.106428894793411","45.570480284020064","1.1966274203985634","8.058805486675906","-6.197979248228024","-6.187755303199631","-1.0565549509749694","-5.5395532161192795","-5.126912014409714","-5.655804284128565","-5.1185582780586065","-5.1732127611837075","-5.493494967595128","-0.6558042841285651","1.2790734895739442","4.329129501860286","4.352084228084485","-0.5372460060699583"
